table,reference_exists,exact_file_match,new_sha256,reference_sha256
demographics,True,True,a9ee3282270906bdeaf7cf1a59a2e2acc327ab59b0357c72d599135edb171471,a9ee3282270906bdeaf7cf1a59a2e2acc327ab59b0357c72d599135edb171471
family_history,True,True,23f150430a613ac0e140042c49486e76e05a021b3aa6ade15da84127289db02d,23f150430a613ac0e140042c49486e76e05a021b3aa6ade15da84127289db02d
diagnosis_history,True,True,fec661d1bc8885419dfff5ba08894689a722409c9958df9bb95b2e3f92e7d8ba,fec661d1bc8885419dfff5ba08894689a722409c9958df9bb95b2e3f92e7d8ba
dopamine_therapy,True,True,eeccac87e74327069aae1086dccf79c8ee2ebe3adc6829dec033abca9c9d82b1,eeccac87e74327069aae1086dccf79c8ee2ebe3adc6829dec033abca9c9d82b1
other_clinical,True,True,06daf544049f5582257c259f11727a226362d361bae7dd0439df95454e435fa3,06daf544049f5582257c259f11727a226362d361bae7dd0439df95454e435fa3
moca,True,True,2be682fc62140de3c7cbba60e62c66105f459ce4a006702460a676a347d2d9c0,2be682fc62140de3c7cbba60e62c66105f459ce4a006702460a676a347d2d9c0
freezing,True,True,45b3874dc32f9171a43dfa671721ddec52b2cab677930ccf2bcfa42e9598f20e,45b3874dc32f9171a43dfa671721ddec52b2cab677930ccf2bcfa42e9598f20e
scopa_aut,True,True,6f5d40a95d10d41d733b26925b97e8b42c2b8c789b9df053d2279a77bf4feb43,6f5d40a95d10d41d733b26925b97e8b42c2b8c789b9df053d2279a77bf4feb43
neuroqol_mobility,True,True,e5e85781dc2112353b83b61e546280ca7ab4ad1c9674498546fc35f495aa0d1b,e5e85781dc2112353b83b61e546280ca7ab4ad1c9674498546fc35f495aa0d1b
updrs_part_i_patient,True,True,0e9eac05b2ac9fd29658fc114b8437f349b067435e3a8a63b67088b3b28684bf,0e9eac05b2ac9fd29658fc114b8437f349b067435e3a8a63b67088b3b28684bf
updrs_part_iv,True,True,de13634c11ede60fe9a2f998aa29b43ed8b975a23b43209a8ea9572d6da56ff2,de13634c11ede60fe9a2f998aa29b43ed8b975a23b43209a8ea9572d6da56ff2
updrs_part_i,True,True,f0725f8b994146cc7a3b6bbb2c32c08f77ccf1392bd5c9755a38f20cb37ffca8,f0725f8b994146cc7a3b6bbb2c32c08f77ccf1392bd5c9755a38f20cb37ffca8
updrs_part_iii,True,True,2b8a7e2badcc80db6cfb4b51419aa9a090d50269f227f943bd442dccfbc37dd9,2b8a7e2badcc80db6cfb4b51419aa9a090d50269f227f943bd442dccfbc37dd9
gds15,True,True,3954c0c8ac5ba940a145601b5c50c421cc799f93bd189bd5b94cf8c2d50dd679,3954c0c8ac5ba940a145601b5c50c421cc799f93bd189bd5b94cf8c2d50dd679
vital_signs,True,True,4bc2425c4f26e58b31b1996ec3e6199554077b0741d6c79b4d6111ae1324dd46,4bc2425c4f26e58b31b1996ec3e6199554077b0741d6c79b4d6111ae1324dd46
