feature,recorded_patients,recorded_percent
Years_since_PD_diagnosis,1040,100.0
Age,1040,100.0
DXPOSINS,1039,99.9
DXRIGID,1040,100.0
DOPTHERST,838,80.6
MCATOT,1040,100.0
FRZGT12M,977,93.9
SCAU14,1040,100.0
SCAU16,1040,100.0
GDS_TOTAL,1040,100.0
NQ_GAUSSIAN_REVISION,976,93.8
NP1RTOT,1040,100.0
BMI,1040,100.0
NP1SLPD,1040,100.0
NP1URIN,1040,100.0
NP3GAIT_COMBINED_MAX,1040,100.0
NP3PSTBL_COMBINED_MAX,1040,100.0
NHY_COMBINED_MAX,1040,100.0
FEATPOSHYP,1040,100.0
NP3TOT_COMBINED_MAX,1040,100.0
NP4TOT,814,78.3
ANYFAMPD,979,94.1
DXTREMOR,1040,100.0
DXBRADY,1040,100.0
DOMSIDE,1040,100.0
NP1CNST,1040,100.0
