split_seed,inner_seed,inner_validation_fold,role,falls_class,label,patients,percent_within_role
0,0,0,inner_train,0,no fall,398,68.4
0,0,0,inner_train,1,rare fall,127,21.8
0,0,0,inner_train,2,recurrent fall,57,9.8
0,0,0,inner_validation,0,no fall,100,68.5
0,0,0,inner_validation,1,rare fall,32,21.9
0,0,0,inner_validation,2,recurrent fall,14,9.6
0,0,1,inner_train,0,no fall,398,68.4
0,0,1,inner_train,1,rare fall,127,21.8
0,0,1,inner_train,2,recurrent fall,57,9.8
0,0,1,inner_validation,0,no fall,100,68.5
0,0,1,inner_validation,1,rare fall,32,21.9
0,0,1,inner_validation,2,recurrent fall,14,9.6
0,0,2,inner_train,0,no fall,398,68.4
0,0,2,inner_train,1,rare fall,127,21.8
0,0,2,inner_train,2,recurrent fall,57,9.8
0,0,2,inner_validation,0,no fall,100,68.5
0,0,2,inner_validation,1,rare fall,32,21.9
0,0,2,inner_validation,2,recurrent fall,14,9.6
0,0,3,inner_train,0,no fall,399,68.4
0,0,3,inner_train,1,rare fall,128,22.0
0,0,3,inner_train,2,recurrent fall,56,9.6
0,0,3,inner_validation,0,no fall,99,68.3
0,0,3,inner_validation,1,rare fall,31,21.4
0,0,3,inner_validation,2,recurrent fall,15,10.3
0,0,4,inner_train,0,no fall,399,68.4
0,0,4,inner_train,1,rare fall,127,21.8
0,0,4,inner_train,2,recurrent fall,57,9.8
0,0,4,inner_validation,0,no fall,99,68.3
0,0,4,inner_validation,1,rare fall,32,22.1
0,0,4,inner_validation,2,recurrent fall,14,9.7
1,1,0,inner_train,0,no fall,398,68.4
1,1,0,inner_train,1,rare fall,127,21.8
1,1,0,inner_train,2,recurrent fall,57,9.8
1,1,0,inner_validation,0,no fall,100,68.5
1,1,0,inner_validation,1,rare fall,32,21.9
1,1,0,inner_validation,2,recurrent fall,14,9.6
1,1,1,inner_train,0,no fall,398,68.4
1,1,1,inner_train,1,rare fall,127,21.8
1,1,1,inner_train,2,recurrent fall,57,9.8
1,1,1,inner_validation,0,no fall,100,68.5
1,1,1,inner_validation,1,rare fall,32,21.9
1,1,1,inner_validation,2,recurrent fall,14,9.6
1,1,2,inner_train,0,no fall,398,68.4
1,1,2,inner_train,1,rare fall,127,21.8
1,1,2,inner_train,2,recurrent fall,57,9.8
1,1,2,inner_validation,0,no fall,100,68.5
1,1,2,inner_validation,1,rare fall,32,21.9
1,1,2,inner_validation,2,recurrent fall,14,9.6
1,1,3,inner_train,0,no fall,399,68.4
1,1,3,inner_train,1,rare fall,128,22.0
1,1,3,inner_train,2,recurrent fall,56,9.6
1,1,3,inner_validation,0,no fall,99,68.3
1,1,3,inner_validation,1,rare fall,31,21.4
1,1,3,inner_validation,2,recurrent fall,15,10.3
1,1,4,inner_train,0,no fall,399,68.4
1,1,4,inner_train,1,rare fall,127,21.8
1,1,4,inner_train,2,recurrent fall,57,9.8
1,1,4,inner_validation,0,no fall,99,68.3
1,1,4,inner_validation,1,rare fall,32,22.1
1,1,4,inner_validation,2,recurrent fall,14,9.7
2,2,0,inner_train,0,no fall,398,68.4
2,2,0,inner_train,1,rare fall,127,21.8
2,2,0,inner_train,2,recurrent fall,57,9.8
2,2,0,inner_validation,0,no fall,100,68.5
2,2,0,inner_validation,1,rare fall,32,21.9
2,2,0,inner_validation,2,recurrent fall,14,9.6
2,2,1,inner_train,0,no fall,398,68.4
2,2,1,inner_train,1,rare fall,127,21.8
2,2,1,inner_train,2,recurrent fall,57,9.8
2,2,1,inner_validation,0,no fall,100,68.5
2,2,1,inner_validation,1,rare fall,32,21.9
2,2,1,inner_validation,2,recurrent fall,14,9.6
2,2,2,inner_train,0,no fall,398,68.4
2,2,2,inner_train,1,rare fall,128,22.0
2,2,2,inner_train,2,recurrent fall,56,9.6
2,2,2,inner_validation,0,no fall,100,68.5
2,2,2,inner_validation,1,rare fall,31,21.2
2,2,2,inner_validation,2,recurrent fall,15,10.3
2,2,3,inner_train,0,no fall,399,68.4
2,2,3,inner_train,1,rare fall,127,21.8
2,2,3,inner_train,2,recurrent fall,57,9.8
2,2,3,inner_validation,0,no fall,99,68.3
2,2,3,inner_validation,1,rare fall,32,22.1
2,2,3,inner_validation,2,recurrent fall,14,9.7
2,2,4,inner_train,0,no fall,399,68.4
2,2,4,inner_train,1,rare fall,127,21.8
2,2,4,inner_train,2,recurrent fall,57,9.8
2,2,4,inner_validation,0,no fall,99,68.3
2,2,4,inner_validation,1,rare fall,32,22.1
2,2,4,inner_validation,2,recurrent fall,14,9.7
3,3,0,inner_train,0,no fall,398,68.4
3,3,0,inner_train,1,rare fall,127,21.8
3,3,0,inner_train,2,recurrent fall,57,9.8
3,3,0,inner_validation,0,no fall,100,68.5
3,3,0,inner_validation,1,rare fall,32,21.9
3,3,0,inner_validation,2,recurrent fall,14,9.6
3,3,1,inner_train,0,no fall,398,68.4
3,3,1,inner_train,1,rare fall,127,21.8
3,3,1,inner_train,2,recurrent fall,57,9.8
3,3,1,inner_validation,0,no fall,100,68.5
3,3,1,inner_validation,1,rare fall,32,21.9
3,3,1,inner_validation,2,recurrent fall,14,9.6
3,3,2,inner_train,0,no fall,398,68.4
3,3,2,inner_train,1,rare fall,128,22.0
3,3,2,inner_train,2,recurrent fall,56,9.6
3,3,2,inner_validation,0,no fall,100,68.5
3,3,2,inner_validation,1,rare fall,31,21.2
3,3,2,inner_validation,2,recurrent fall,15,10.3
3,3,3,inner_train,0,no fall,399,68.4
3,3,3,inner_train,1,rare fall,127,21.8
3,3,3,inner_train,2,recurrent fall,57,9.8
3,3,3,inner_validation,0,no fall,99,68.3
3,3,3,inner_validation,1,rare fall,32,22.1
3,3,3,inner_validation,2,recurrent fall,14,9.7
3,3,4,inner_train,0,no fall,399,68.4
3,3,4,inner_train,1,rare fall,127,21.8
3,3,4,inner_train,2,recurrent fall,57,9.8
3,3,4,inner_validation,0,no fall,99,68.3
3,3,4,inner_validation,1,rare fall,32,22.1
3,3,4,inner_validation,2,recurrent fall,14,9.7
4,4,0,inner_train,0,no fall,398,68.4
4,4,0,inner_train,1,rare fall,127,21.8
4,4,0,inner_train,2,recurrent fall,57,9.8
4,4,0,inner_validation,0,no fall,100,68.5
4,4,0,inner_validation,1,rare fall,32,21.9
4,4,0,inner_validation,2,recurrent fall,14,9.6
4,4,1,inner_train,0,no fall,398,68.4
4,4,1,inner_train,1,rare fall,127,21.8
4,4,1,inner_train,2,recurrent fall,57,9.8
4,4,1,inner_validation,0,no fall,100,68.5
4,4,1,inner_validation,1,rare fall,32,21.9
4,4,1,inner_validation,2,recurrent fall,14,9.6
4,4,2,inner_train,0,no fall,398,68.4
4,4,2,inner_train,1,rare fall,128,22.0
4,4,2,inner_train,2,recurrent fall,56,9.6
4,4,2,inner_validation,0,no fall,100,68.5
4,4,2,inner_validation,1,rare fall,31,21.2
4,4,2,inner_validation,2,recurrent fall,15,10.3
4,4,3,inner_train,0,no fall,399,68.4
4,4,3,inner_train,1,rare fall,127,21.8
4,4,3,inner_train,2,recurrent fall,57,9.8
4,4,3,inner_validation,0,no fall,99,68.3
4,4,3,inner_validation,1,rare fall,32,22.1
4,4,3,inner_validation,2,recurrent fall,14,9.7
4,4,4,inner_train,0,no fall,399,68.4
4,4,4,inner_train,1,rare fall,127,21.8
4,4,4,inner_train,2,recurrent fall,57,9.8
4,4,4,inner_validation,0,no fall,99,68.3
4,4,4,inner_validation,1,rare fall,32,22.1
4,4,4,inner_validation,2,recurrent fall,14,9.7
5,5,0,inner_train,0,no fall,398,68.4
5,5,0,inner_train,1,rare fall,127,21.8
5,5,0,inner_train,2,recurrent fall,57,9.8
5,5,0,inner_validation,0,no fall,100,68.5
5,5,0,inner_validation,1,rare fall,32,21.9
5,5,0,inner_validation,2,recurrent fall,14,9.6
5,5,1,inner_train,0,no fall,398,68.4
5,5,1,inner_train,1,rare fall,127,21.8
5,5,1,inner_train,2,recurrent fall,57,9.8
5,5,1,inner_validation,0,no fall,100,68.5
5,5,1,inner_validation,1,rare fall,32,21.9
5,5,1,inner_validation,2,recurrent fall,14,9.6
5,5,2,inner_train,0,no fall,398,68.4
5,5,2,inner_train,1,rare fall,128,22.0
5,5,2,inner_train,2,recurrent fall,56,9.6
5,5,2,inner_validation,0,no fall,100,68.5
5,5,2,inner_validation,1,rare fall,31,21.2
5,5,2,inner_validation,2,recurrent fall,15,10.3
5,5,3,inner_train,0,no fall,399,68.4
5,5,3,inner_train,1,rare fall,127,21.8
5,5,3,inner_train,2,recurrent fall,57,9.8
5,5,3,inner_validation,0,no fall,99,68.3
5,5,3,inner_validation,1,rare fall,32,22.1
5,5,3,inner_validation,2,recurrent fall,14,9.7
5,5,4,inner_train,0,no fall,399,68.4
5,5,4,inner_train,1,rare fall,127,21.8
5,5,4,inner_train,2,recurrent fall,57,9.8
5,5,4,inner_validation,0,no fall,99,68.3
5,5,4,inner_validation,1,rare fall,32,22.1
5,5,4,inner_validation,2,recurrent fall,14,9.7
6,6,0,inner_train,0,no fall,398,68.4
6,6,0,inner_train,1,rare fall,127,21.8
6,6,0,inner_train,2,recurrent fall,57,9.8
6,6,0,inner_validation,0,no fall,100,68.5
6,6,0,inner_validation,1,rare fall,32,21.9
6,6,0,inner_validation,2,recurrent fall,14,9.6
6,6,1,inner_train,0,no fall,398,68.4
6,6,1,inner_train,1,rare fall,127,21.8
6,6,1,inner_train,2,recurrent fall,57,9.8
6,6,1,inner_validation,0,no fall,100,68.5
6,6,1,inner_validation,1,rare fall,32,21.9
6,6,1,inner_validation,2,recurrent fall,14,9.6
6,6,2,inner_train,0,no fall,398,68.4
6,6,2,inner_train,1,rare fall,128,22.0
6,6,2,inner_train,2,recurrent fall,56,9.6
6,6,2,inner_validation,0,no fall,100,68.5
6,6,2,inner_validation,1,rare fall,31,21.2
6,6,2,inner_validation,2,recurrent fall,15,10.3
6,6,3,inner_train,0,no fall,399,68.4
6,6,3,inner_train,1,rare fall,127,21.8
6,6,3,inner_train,2,recurrent fall,57,9.8
6,6,3,inner_validation,0,no fall,99,68.3
6,6,3,inner_validation,1,rare fall,32,22.1
6,6,3,inner_validation,2,recurrent fall,14,9.7
6,6,4,inner_train,0,no fall,399,68.4
6,6,4,inner_train,1,rare fall,127,21.8
6,6,4,inner_train,2,recurrent fall,57,9.8
6,6,4,inner_validation,0,no fall,99,68.3
6,6,4,inner_validation,1,rare fall,32,22.1
6,6,4,inner_validation,2,recurrent fall,14,9.7
7,7,0,inner_train,0,no fall,398,68.4
7,7,0,inner_train,1,rare fall,127,21.8
7,7,0,inner_train,2,recurrent fall,57,9.8
7,7,0,inner_validation,0,no fall,100,68.5
7,7,0,inner_validation,1,rare fall,32,21.9
7,7,0,inner_validation,2,recurrent fall,14,9.6
7,7,1,inner_train,0,no fall,398,68.4
7,7,1,inner_train,1,rare fall,127,21.8
7,7,1,inner_train,2,recurrent fall,57,9.8
7,7,1,inner_validation,0,no fall,100,68.5
7,7,1,inner_validation,1,rare fall,32,21.9
7,7,1,inner_validation,2,recurrent fall,14,9.6
7,7,2,inner_train,0,no fall,398,68.4
7,7,2,inner_train,1,rare fall,128,22.0
7,7,2,inner_train,2,recurrent fall,56,9.6
7,7,2,inner_validation,0,no fall,100,68.5
7,7,2,inner_validation,1,rare fall,31,21.2
7,7,2,inner_validation,2,recurrent fall,15,10.3
7,7,3,inner_train,0,no fall,399,68.4
7,7,3,inner_train,1,rare fall,127,21.8
7,7,3,inner_train,2,recurrent fall,57,9.8
7,7,3,inner_validation,0,no fall,99,68.3
7,7,3,inner_validation,1,rare fall,32,22.1
7,7,3,inner_validation,2,recurrent fall,14,9.7
7,7,4,inner_train,0,no fall,399,68.4
7,7,4,inner_train,1,rare fall,127,21.8
7,7,4,inner_train,2,recurrent fall,57,9.8
7,7,4,inner_validation,0,no fall,99,68.3
7,7,4,inner_validation,1,rare fall,32,22.1
7,7,4,inner_validation,2,recurrent fall,14,9.7
8,8,0,inner_train,0,no fall,398,68.4
8,8,0,inner_train,1,rare fall,127,21.8
8,8,0,inner_train,2,recurrent fall,57,9.8
8,8,0,inner_validation,0,no fall,100,68.5
