split_seed,role,falls_class,label,patients,percent_within_role
0,train,0,no fall,498,68.4
0,train,1,rare fall,159,21.8
0,train,2,recurrent fall,71,9.8
0,test,0,no fall,214,68.6
0,test,1,rare fall,68,21.8
0,test,2,recurrent fall,30,9.6
1,train,0,no fall,498,68.4
1,train,1,rare fall,159,21.8
1,train,2,recurrent fall,71,9.8
1,test,0,no fall,214,68.6
1,test,1,rare fall,68,21.8
1,test,2,recurrent fall,30,9.6
2,train,0,no fall,498,68.4
2,train,1,rare fall,159,21.8
2,train,2,recurrent fall,71,9.8
2,test,0,no fall,214,68.6
2,test,1,rare fall,68,21.8
2,test,2,recurrent fall,30,9.6
3,train,0,no fall,498,68.4
3,train,1,rare fall,159,21.8
3,train,2,recurrent fall,71,9.8
3,test,0,no fall,214,68.6
3,test,1,rare fall,68,21.8
3,test,2,recurrent fall,30,9.6
4,train,0,no fall,498,68.4
4,train,1,rare fall,159,21.8
4,train,2,recurrent fall,71,9.8
4,test,0,no fall,214,68.6
4,test,1,rare fall,68,21.8
4,test,2,recurrent fall,30,9.6
5,train,0,no fall,498,68.4
5,train,1,rare fall,159,21.8
5,train,2,recurrent fall,71,9.8
5,test,0,no fall,214,68.6
5,test,1,rare fall,68,21.8
5,test,2,recurrent fall,30,9.6
6,train,0,no fall,498,68.4
6,train,1,rare fall,159,21.8
6,train,2,recurrent fall,71,9.8
6,test,0,no fall,214,68.6
6,test,1,rare fall,68,21.8
6,test,2,recurrent fall,30,9.6
7,train,0,no fall,498,68.4
7,train,1,rare fall,159,21.8
7,train,2,recurrent fall,71,9.8
7,test,0,no fall,214,68.6
7,test,1,rare fall,68,21.8
7,test,2,recurrent fall,30,9.6
8,train,0,no fall,498,68.4
8,train,1,rare fall,159,21.8
8,train,2,recurrent fall,71,9.8
8,test,0,no fall,214,68.6
8,test,1,rare fall,68,21.8
8,test,2,recurrent fall,30,9.6
9,train,0,no fall,498,68.4
9,train,1,rare fall,159,21.8
9,train,2,recurrent fall,71,9.8
9,test,0,no fall,214,68.6
9,test,1,rare fall,68,21.8
9,test,2,recurrent fall,30,9.6
10,train,0,no fall,498,68.4
10,train,1,rare fall,159,21.8
10,train,2,recurrent fall,71,9.8
10,test,0,no fall,214,68.6
10,test,1,rare fall,68,21.8
10,test,2,recurrent fall,30,9.6
11,train,0,no fall,498,68.4
11,train,1,rare fall,159,21.8
11,train,2,recurrent fall,71,9.8
11,test,0,no fall,214,68.6
11,test,1,rare fall,68,21.8
11,test,2,recurrent fall,30,9.6
12,train,0,no fall,498,68.4
12,train,1,rare fall,159,21.8
12,train,2,recurrent fall,71,9.8
12,test,0,no fall,214,68.6
12,test,1,rare fall,68,21.8
12,test,2,recurrent fall,30,9.6
13,train,0,no fall,498,68.4
13,train,1,rare fall,159,21.8
13,train,2,recurrent fall,71,9.8
13,test,0,no fall,214,68.6
13,test,1,rare fall,68,21.8
13,test,2,recurrent fall,30,9.6
14,train,0,no fall,498,68.4
14,train,1,rare fall,159,21.8
14,train,2,recurrent fall,71,9.8
14,test,0,no fall,214,68.6
14,test,1,rare fall,68,21.8
14,test,2,recurrent fall,30,9.6
15,train,0,no fall,498,68.4
15,train,1,rare fall,159,21.8
15,train,2,recurrent fall,71,9.8
15,test,0,no fall,214,68.6
15,test,1,rare fall,68,21.8
15,test,2,recurrent fall,30,9.6
16,train,0,no fall,498,68.4
16,train,1,rare fall,159,21.8
16,train,2,recurrent fall,71,9.8
16,test,0,no fall,214,68.6
16,test,1,rare fall,68,21.8
16,test,2,recurrent fall,30,9.6
17,train,0,no fall,498,68.4
17,train,1,rare fall,159,21.8
17,train,2,recurrent fall,71,9.8
17,test,0,no fall,214,68.6
17,test,1,rare fall,68,21.8
17,test,2,recurrent fall,30,9.6
18,train,0,no fall,498,68.4
18,train,1,rare fall,159,21.8
18,train,2,recurrent fall,71,9.8
18,test,0,no fall,214,68.6
18,test,1,rare fall,68,21.8
18,test,2,recurrent fall,30,9.6
19,train,0,no fall,498,68.4
19,train,1,rare fall,159,21.8
19,train,2,recurrent fall,71,9.8
19,test,0,no fall,214,68.6
19,test,1,rare fall,68,21.8
19,test,2,recurrent fall,30,9.6
