position,feature,kind,missing_patients,missing_percent
1,Years_since_PD_diagnosis,numeric_or_ordinal,0,0.0
2,Age,numeric_or_ordinal,0,0.0
3,DXPOSINS,nominal,1,0.1
4,DXRIGID,nominal,0,0.0
5,DOPTHERST,nominal,202,19.4
6,MCATOT,numeric_or_ordinal,0,0.0
7,FRZGT12M,numeric_or_ordinal,63,6.1
8,SCAU14,numeric_or_ordinal,0,0.0
9,SCAU16,numeric_or_ordinal,0,0.0
10,GDS_TOTAL,numeric_or_ordinal,0,0.0
11,NQ_GAUSSIAN_REVISION,numeric_or_ordinal,64,6.2
12,NP1RTOT,numeric_or_ordinal,0,0.0
13,BMI,numeric_or_ordinal,0,0.0
14,NP1SLPD,numeric_or_ordinal,0,0.0
15,NP1URIN,numeric_or_ordinal,0,0.0
16,NP3GAIT_COMBINED_MAX,numeric_or_ordinal,0,0.0
17,NP3PSTBL_COMBINED_MAX,numeric_or_ordinal,0,0.0
18,NHY_COMBINED_MAX,numeric_or_ordinal,0,0.0
19,FEATPOSHYP,nominal,0,0.0
20,NP3TOT_COMBINED_MAX,numeric_or_ordinal,0,0.0
21,NP4TOT,numeric_or_ordinal,226,21.7
22,ANYFAMPD,nominal,61,5.9
23,DXTREMOR,nominal,0,0.0
24,DXBRADY,nominal,0,0.0
25,DOMSIDE,nominal,0,0.0
26,NP1CNST,numeric_or_ordinal,0,0.0
