feature,descriptive_name,role,partitions,median_observed_n,median_missing_n,median_raw_p,median_adjusted_q,fdr_significant_partitions,fdr_significant_fraction,most_common_test,effect_size_metric,common_test_partitions,common_test_fraction,common_test_median_effect,common_test_effect_q1,common_test_effect_q3
NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),continuous_or_scale,100,545.5,37.0,1.2663659120309045e-19,1.2763750683183225e-18,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.15609829498108085,0.14304886015224186,0.16949901048670146
FRZGT12M,Freezing of gait severity,ordinal,100,546.0,36.0,3.5422766570531997e-19,3.033083961256839e-18,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.15280783128304765,0.13754076959168565,0.171174440925226
NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",ordinal,100,582.0,0.0,5.506991447276522e-20,8.89163953587278e-19,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.14961632735466254,0.1349783933721314,0.16696419675969726
NP3GAIT_COMBINED_MAX,"Part III gait, combined states",ordinal,100,582.0,0.0,8.881667311268967e-18,6.261473206575892e-17,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.13194332020549027,0.11540992205506945,0.1425126353456794
NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",ordinal,100,582.0,0.0,2.2565613089083485e-15,1.0793487634236075e-14,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.11297666019811393,0.10232105165679668,0.12790627728057086
Years_since_PD_diagnosis,Years since PD diagnosis,continuous_or_scale,100,582.0,0.0,6.541485996917327e-15,2.5420814584343735e-14,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.10933880536529966,0.09686931882054543,0.11894100149602571
NP4TOT,MDS-UPDRS Part IV complications total,continuous_or_scale,100,456.5,126.0,6.207584783271085e-12,1.6170393880428893e-11,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.10873940861895595,0.09791256914817337,0.12207308423375901
NP1RTOT,MDS-UPDRS Part I rater total,continuous_or_scale,100,582.0,0.0,4.391612573773457e-14,1.5709233892982407e-13,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.10278693730243807,0.09698464671139666,0.11530238108760725
NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",continuous_or_scale,100,582.0,0.0,8.443552665625929e-13,2.9361458676844015e-12,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.0924152185862433,0.08327022696932389,0.10576041498885135
NP1CNST,Constipation severity,ordinal,100,582.0,0.0,1.1597789927263732e-12,3.279796848932285e-12,100,1.0,kruskal_wallis,epsilon_squared,100,1.0,0.09137252415771244,0.08311725276484265,0.09977575895409503
