split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,category,patients,percent_within_class
0,0,582,DXPOSINS,Postural instability at diagnosis,0,no fall,<Missing>,1,0.3
0,0,582,DXPOSINS,Postural instability at diagnosis,0,no fall,No,348,87.4
0,0,582,DXPOSINS,Postural instability at diagnosis,0,no fall,Unknown,21,5.3
0,0,582,DXPOSINS,Postural instability at diagnosis,0,no fall,Yes,28,7.0
0,0,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,No,111,87.4
0,0,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,Unknown,5,3.9
0,0,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,Yes,11,8.7
0,0,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,No,50,87.7
0,0,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Unknown,1,1.8
0,0,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Yes,6,10.5
0,0,582,DXRIGID,Rigidity at diagnosis,0,no fall,No,84,21.1
0,0,582,DXRIGID,Rigidity at diagnosis,0,no fall,Unknown,30,7.5
0,0,582,DXRIGID,Rigidity at diagnosis,0,no fall,Yes,284,71.4
0,0,582,DXRIGID,Rigidity at diagnosis,1,rare fall,No,28,22.0
0,0,582,DXRIGID,Rigidity at diagnosis,1,rare fall,Unknown,3,2.4
0,0,582,DXRIGID,Rigidity at diagnosis,1,rare fall,Yes,96,75.6
0,0,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,No,11,19.3
0,0,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Unknown,2,3.5
0,0,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Yes,44,77.2
0,0,582,DOPTHERST,Dopaminergic therapy started,0,no fall,<Missing>,72,18.1
0,0,582,DOPTHERST,Dopaminergic therapy started,0,no fall,No,70,17.6
0,0,582,DOPTHERST,Dopaminergic therapy started,0,no fall,Yes,256,64.3
0,0,582,DOPTHERST,Dopaminergic therapy started,1,rare fall,<Missing>,30,23.6
0,0,582,DOPTHERST,Dopaminergic therapy started,1,rare fall,No,19,15.0
0,0,582,DOPTHERST,Dopaminergic therapy started,1,rare fall,Yes,78,61.4
0,0,582,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,<Missing>,21,36.8
0,0,582,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,No,3,5.3
0,0,582,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,Yes,33,57.9
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,No,263,66.1
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,Uncertain,9,2.3
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,Yes,126,31.7
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,No,83,65.4
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,Yes,44,34.6
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,No,29,50.9
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,Uncertain,1,1.8
0,0,582,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,Yes,27,47.4
0,0,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,<Missing>,18,4.5
0,0,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,No,237,59.5
0,0,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,Yes,143,35.9
0,0,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,<Missing>,10,7.9
0,0,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,No,68,53.5
0,0,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,Yes,49,38.6
0,0,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,<Missing>,10,17.5
0,0,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,No,21,36.8
0,0,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,Yes,26,45.6
0,0,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,No,71,17.8
0,0,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,Unknown,5,1.3
0,0,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,Yes,322,80.9
0,0,582,DXTREMOR,Resting tremor at diagnosis,1,rare fall,No,16,12.6
0,0,582,DXTREMOR,Resting tremor at diagnosis,1,rare fall,Yes,111,87.4
0,0,582,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,No,13,22.8
0,0,582,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,Yes,44,77.2
0,0,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,No,50,12.6
0,0,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,Unknown,19,4.8
0,0,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,Yes,329,82.7
0,0,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,No,26,20.5
0,0,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Unknown,2,1.6
0,0,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Yes,99,78.0
0,0,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,No,8,14.0
0,0,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Unknown,1,1.8
0,0,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Yes,48,84.2
0,0,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Left,177,44.5
0,0,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Right,212,53.3
0,0,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Symmetric,4,1.0
0,0,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Unknown,5,1.3
0,0,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Left,53,41.7
0,0,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Right,72,56.7
0,0,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Symmetric,1,0.8
0,0,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Unknown,1,0.8
0,0,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Left,25,43.9
0,0,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Right,31,54.4
0,0,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Unknown,1,1.8
0,1,582,DXPOSINS,Postural instability at diagnosis,0,no fall,No,339,85.2
0,1,582,DXPOSINS,Postural instability at diagnosis,0,no fall,Unknown,25,6.3
0,1,582,DXPOSINS,Postural instability at diagnosis,0,no fall,Yes,34,8.5
0,1,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,No,109,85.8
0,1,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,Unknown,8,6.3
0,1,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,Yes,10,7.9
0,1,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,No,52,91.2
0,1,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Unknown,1,1.8
0,1,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Yes,4,7.0
0,1,582,DXRIGID,Rigidity at diagnosis,0,no fall,No,82,20.6
0,1,582,DXRIGID,Rigidity at diagnosis,0,no fall,Unknown,35,8.8
0,1,582,DXRIGID,Rigidity at diagnosis,0,no fall,Yes,281,70.6
0,1,582,DXRIGID,Rigidity at diagnosis,1,rare fall,No,25,19.7
0,1,582,DXRIGID,Rigidity at diagnosis,1,rare fall,Unknown,6,4.7
0,1,582,DXRIGID,Rigidity at diagnosis,1,rare fall,Yes,96,75.6
0,1,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,No,14,24.6
0,1,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Unknown,3,5.3
0,1,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Yes,40,70.2
0,1,582,DOPTHERST,Dopaminergic therapy started,0,no fall,<Missing>,68,17.1
0,1,582,DOPTHERST,Dopaminergic therapy started,0,no fall,No,67,16.8
