split_seed,target,inner_validation_fold,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,training_patients,validation_patients,selected_columns,fit_seconds,baseline_macro_f1,baseline_priority_recall,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,recall_class_2,priority_recall,delta_macro_f1,delta_priority_recall
0,direct,0,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,48,0.07448008400024264,0.4997124784358828,0.1875,0.5073733272842191,0.5986309523809523,0.6232876712328768,0.72,0.21875,0.8571428571428571,0.21875,0.0076608488483363435,0.03125
0,direct,0,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,582,146,48,0.07372762500017416,0.4997124784358828,0.1875,0.48188949509285006,0.564404761904762,0.6095890410958904,0.72,0.1875,0.7857142857142857,0.1875,-0.017822983343032728,0.0
0,direct,0,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,582,146,48,0.07499108300180524,0.4997124784358828,0.1875,0.5019592080149539,0.5915476190476191,0.6232876712328768,0.73,0.1875,0.8571428571428571,0.1875,0.0022467295790710717,0.0
0,direct,0,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,48,0.07314716699693236,0.4997124784358828,0.1875,0.48415147265077135,0.564404761904762,0.6095890410958904,0.72,0.1875,0.7857142857142857,0.1875,-0.015561005785111437,0.0
0,direct,0,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,582,146,46,0.07287191599971266,0.4997124784358828,0.1875,0.46972176759410805,0.5878571428571429,0.6027397260273972,0.71,0.125,0.9285714285714286,0.125,-0.029990710841774737,-0.0625
0,direct,0,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,582,146,47,0.07730404199901386,0.4997124784358828,0.1875,0.4865359948693282,0.5945238095238096,0.6164383561643836,0.73,0.125,0.9285714285714286,0.125,-0.013176483566554598,-0.0625
0,direct,0,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,582,146,47,0.07422316600059276,0.4997124784358828,0.1875,0.4865359948693282,0.5945238095238096,0.6164383561643836,0.73,0.125,0.9285714285714286,0.125,-0.013176483566554598,-0.0625
0,direct,1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,47,0.07814208299896563,0.5233766095675566,0.375,0.5593522240742557,0.6101190476190476,0.6712328767123288,0.75,0.4375,0.6428571428571429,0.4375,0.03597561450669906,0.0625
0,direct,1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,582,146,47,0.07108308299939381,0.5233766095675566,0.375,0.5426625311682783,0.6060119047619047,0.6643835616438356,0.76,0.34375,0.7142857142857143,0.34375,0.019285921600721734,-0.03125
0,direct,1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,582,146,47,0.07291883300058544,0.5233766095675566,0.375,0.5425465838509317,0.6060119047619047,0.6643835616438356,0.76,0.34375,0.7142857142857143,0.34375,0.01916997428337508,-0.03125
0,direct,1,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,47,0.07592408300115494,0.5233766095675566,0.375,0.5341849871261636,0.5993452380952381,0.6506849315068494,0.74,0.34375,0.7142857142857143,0.34375,0.010808377558606974,-0.03125
0,direct,1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,582,146,45,0.07317837499795132,0.5233766095675566,0.375,0.5521437474820396,0.6130952380952381,0.6643835616438356,0.75,0.375,0.7142857142857143,0.375,0.028767137914483043,0.0
0,direct,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,582,146,46,0.07479154199972982,0.5233766095675566,0.375,0.5624751275566965,0.620952380952381,0.6643835616438356,0.72,0.5,0.6428571428571429,0.5,0.03909851798913988,0.125
0,direct,1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,582,146,46,0.07166904199766577,0.5233766095675566,0.375,0.5624751275566965,0.620952380952381,0.6643835616438356,0.72,0.5,0.6428571428571429,0.5,0.03909851798913988,0.125
0,direct,2,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,48,0.07047045800209162,0.5186187111828533,0.34375,0.529710591133005,0.5788690476190476,0.6506849315068494,0.75,0.34375,0.6428571428571429,0.34375,0.011091879950151706,0.0
0,direct,2,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,582,146,48,0.07415424999999232,0.5186187111828533,0.34375,0.5130580170069033,0.5550595238095238,0.6438356164383562,0.75,0.34375,0.5714285714285714,0.34375,-0.005560694175949954,0.0
0,direct,2,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,582,146,48,0.07148091700219084,0.5186187111828533,0.34375,0.5178130511463844,0.5588095238095238,0.636986301369863,0.73,0.375,0.5714285714285714,0.375,-0.0008056600364688693,0.03125
0,direct,2,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,48,0.0755989999997837,0.5186187111828533,0.34375,0.5201364865671185,0.5621428571428572,0.6438356164383562,0.74,0.375,0.5714285714285714,0.375,0.0015177753842652297,0.03125
0,direct,2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,582,146,46,0.07208479100154364,0.5186187111828533,0.34375,0.5160624521455441,0.5554761904761905,0.6301369863013698,0.72,0.375,0.5714285714285714,0.375,-0.002556259037309161,0.03125
0,direct,2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,582,146,47,0.1170590000001539,0.5186187111828533,0.34375,0.5379963598364798,0.5855357142857143,0.6643835616438356,0.77,0.34375,0.6428571428571429,0.34375,0.019377648653626456,0.0
0,direct,2,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,582,146,47,0.0749382499998319,0.5186187111828533,0.34375,0.5379963598364798,0.5855357142857143,0.6643835616438356,0.77,0.34375,0.6428571428571429,0.34375,0.019377648653626456,0.0
0,direct,3,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,583,145,48,0.07575979099783581,0.5130484330484331,0.1935483870967742,0.5262097385086204,0.5675029868578255,0.6551724137931034,0.7777777777777778,0.25806451612903225,0.6666666666666666,0.25806451612903225,0.013161305460187345,0.06451612903225806
0,direct,3,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,583,145,48,0.07505612499880954,0.5130484330484331,0.1935483870967742,0.5442445659483098,0.5816226783968719,0.6689655172413793,0.7878787878787878,0.2903225806451613,0.6666666666666666,0.2903225806451613,0.031196132899876772,0.09677419354838712
0,direct,3,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,583,145,48,0.07738341599906562,0.5130484330484331,0.1935483870967742,0.5584223623402623,0.5923753665689149,0.6758620689655173,0.7878787878787878,0.3225806451612903,0.6666666666666666,0.3225806451612903,0.04537392929182926,0.12903225806451613
0,direct,3,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,583,145,48,0.07795995800188393,0.5130484330484331,0.1935483870967742,0.5584223623402623,0.5923753665689149,0.6758620689655173,0.7878787878787878,0.3225806451612903,0.6666666666666666,0.3225806451612903,0.04537392929182926,0.12903225806451613
0,direct,3,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,583,145,46,0.07485875000202213,0.5130484330484331,0.1935483870967742,0.5273520260817506,0.5823395242750081,0.6620689655172414,0.7878787878787878,0.22580645161290322,0.7333333333333333,0.22580645161290322,0.014303593033317519,0.03225806451612903
0,direct,3,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,583,145,47,0.07421258299655165,0.5130484330484331,0.1935483870967742,0.5300658334399749,0.5823395242750081,0.6620689655172414,0.7878787878787878,0.22580645161290322,0.7333333333333333,0.22580645161290322,0.01701740039154187,0.03225806451612903
0,direct,3,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,583,145,47,0.07593724999969709,0.5130484330484331,0.1935483870967742,0.5300658334399749,0.5823395242750081,0.6620689655172414,0.7878787878787878,0.22580645161290322,0.7333333333333333,0.22580645161290322,0.01701740039154187,0.03225806451612903
0,direct,4,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,583,145,48,0.07509062499957508,0.48446031886887325,0.3125,0.44983065352509016,0.4856902356902357,0.5862068965517241,0.7070707070707071,0.25,0.5,0.25,-0.03462966534378309,-0.0625
0,direct,4,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,583,145,48,0.0746629169989319,0.48446031886887325,0.3125,0.4535936603272876,0.489057239057239,0.593103448275862,0.7171717171717171,0.25,0.5,0.25,-0.030866658541585656,-0.0625
0,direct,4,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,583,145,48,0.07571954200102482,0.48446031886887325,0.3125,0.44096704752442456,0.47895622895622897,0.5724137931034483,0.6868686868686869,0.25,0.5,0.25,-0.04349327134444869,-0.0625
0,direct,4,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,583,145,48,0.07646429099986563,0.48446031886887325,0.3125,0.4496236073471846,0.4856902356902357,0.5862068965517241,0.7070707070707071,0.25,0.5,0.25,-0.03483671152168866,-0.0625
0,direct,4,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,583,145,46,0.07290362500134506,0.48446031886887325,0.3125,0.43718491631377293,0.47527356902356904,0.5793103448275863,0.7070707070707071,0.21875,0.5,0.21875,-0.04727540255510032,-0.09375
0,direct,4,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,583,145,47,0.07495720799852279,0.48446031886887325,0.3125,0.471569101757781,0.505892255892256,0.6275862068965518,0.7676767676767676,0.25,0.5,0.25,-0.012891217111092257,-0.0625
0,direct,4,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,583,145,47,0.07333220800137497,0.48446031886887325,0.3125,0.471569101757781,0.505892255892256,0.6275862068965518,0.7676767676767676,0.25,0.5,0.25,-0.012891217111092257,-0.0625
0,stage_1,0,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,48,0.0828117499986547,0.686711676348982,0.6304347826086957,0.6685242518059855,0.6802173913043479,0.6986301369863014,0.73,0.6304347826086957,,0.6304347826086957,-0.01818742454299649,0.0
0,stage_1,0,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,582,146,48,0.07798629100216203,0.686711676348982,0.6304347826086957,0.6745632678451091,0.6852173913043478,0.7054794520547946,0.74,0.6304347826086957,,0.6304347826086957,-0.012148408503872887,0.0
0,stage_1,0,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,582,146,48,0.07508070900075836,0.686711676348982,0.6304347826086957,0.7013093289689034,0.7178260869565217,0.726027397260274,0.74,0.6956521739130435,,0.6956521739130435,0.014597652619921409,0.06521739130434778
0,stage_1,0,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,48,0.07618870799706201,0.686711676348982,0.6304347826086957,0.6835913312693498,0.6960869565217391,0.7123287671232876,0.74,0.6521739130434783,,0.6521739130434783,-0.003120345079632214,0.021739130434782594
0,stage_1,0,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,582,146,46,0.07629004200134659,0.686711676348982,0.6304347826086957,0.6653934300993125,0.6810869565217391,0.6917808219178082,0.71,0.6521739130434783,,0.6521739130434783,-0.021318246249669492,0.021739130434782594
0,stage_1,0,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,582,146,47,0.06383145799918566,0.686711676348982,0.6304347826086957,0.6896998600383599,0.7010869565217391,0.7191780821917808,0.75,0.6521739130434783,,0.6521739130434783,0.0029881836893779212,0.021739130434782594
0,stage_1,0,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,582,146,47,0.07361200000013923,0.686711676348982,0.6304347826086957,0.6896998600383599,0.7010869565217391,0.7191780821917808,0.75,0.6521739130434783,,0.6521739130434783,0.0029881836893779212,0.021739130434782594
0,stage_1,1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,582,146,47,0.0650608750001993,0.7199730444248613,0.6956521739130435,0.7414583333333333,0.7536956521739131,0.7671232876712328,0.79,0.717391304347826,,0.717391304347826,0.02148528890847201,0.021739130434782594
0,stage_1,1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,582,146,47,0.06273316599981626,0.7199730444248613,0.6956521739130435,0.7414583333333333,0.7536956521739131,0.7671232876712328,0.79,0.717391304347826,,0.717391304347826,0.02148528890847201,0.021739130434782594
0,stage_1,1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,582,146,47,0.06628458300110651,0.7199730444248613,0.6956521739130435,0.7235430254576057,0.7319565217391304,0.7534246575342466,0.79,0.6739130434782609,,0.6739130434782609,0.003569981032744418,-0.021739130434782594
