split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance,retained_rank
0,direct,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,0.5144953069050381,0.04066053304596187,0.3016129032258065,0.5681624540334218,0.6373169579593765,47.8,47.8,5,0.006651996684318273,4.0,0.019153225806451613,True,1
0,direct,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,0.5123416505753914,0.045463818827032876,0.2957661290322581,0.5655401286288383,0.6345866792631082,47.8,47.8,5,0.004498340354671571,3.0,0.013306451612903225,True,2
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6964210594283146,0.024619933958486058,0.6347826086956522,0.7039569609134826,0.7293717524799244,46.8,46.8,5,0.008088982181226312,5.0,0.02173913043478264,True,1
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,0.6964210594283146,0.024619933958486058,0.6347826086956522,0.7039569609134826,0.7293717524799244,46.8,46.8,5,0.008088982181226312,5.0,0.02173913043478264,True,2
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.6820195905745946,0.04381613946498209,0.7550403225806452,0.6941868279569892,0.717391304347826,44.0,44.0,5,0.03605164555291292,3.0,0.01875,True,1
0,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6641706027342158,0.04900760227376743,0.7360887096774194,0.6770919738863287,0.7,45.0,45.0,5,0.0182026577125342,3.0,-0.00020161290322580073,True,2
1,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.5244367584937532,0.024384003277162176,0.37076612903225803,0.5877358958246055,0.6194615021256495,15.2,9.6,5,,,,True,1
1,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5248831143938097,0.01480847754052584,0.3461693548387097,0.5921170576735093,0.6236372224846481,27.2,19.4,5,,,,True,2
1,stage_1,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,0.6863873229599855,0.03879657666894066,0.6478260869565218,0.6974382960035135,0.7157109116674539,47.8,47.8,5,0.005058331045946796,3.0,0.017391304347826098,True,1
1,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6751904881356328,0.0335244518341184,0.6478260869565218,0.6884079929732104,0.7033443552196504,15.2,10.6,5,,,,True,2
