target,candidate_kind,pipeline_key,branch,selector,retained_count
direct,selector_configuration,raw__corrected_fdr__q<=0.05,,corrected_fdr,13
direct,selector_configuration,raw__extra_trees__threshold=1.25*median,,extra_trees,7
direct,selector_configuration,raw__extra_trees__threshold=median,,extra_trees,6
direct,engineered_representation,engineering__INT_DURATION_X_MOTOR,INT_DURATION_X_MOTOR,none,3
direct,engineered_representation,engineering__INT_MOTOR_X_COGNITION,INT_MOTOR_X_COGNITION,none,3
direct,engineered_representation,engineering__INT_GAIT_X_POSTURAL_STABILITY,INT_GAIT_X_POSTURAL_STABILITY,none,2
direct,selector_configuration,raw__l1__C=0.1,,l1,2
direct,selector_configuration,raw__none__all,,none,2
direct,engineered_representation,engineering__PCA_PART_I_PATIENT_3_80,PCA_PART_I_PATIENT_3_80,none,1
direct,engineered_representation,engineering__PCA_PART_I_PATIENT_3_90,PCA_PART_I_PATIENT_3_90,none,1
stage_1,selector_configuration,raw__l1__C=0.1,,l1,8
stage_1,selector_configuration,raw__corrected_fdr__q<=0.05,,corrected_fdr,7
stage_1,selector_configuration,raw__extra_trees__threshold=1.25*median,,extra_trees,5
stage_1,selector_configuration,raw__extra_trees__threshold=median,,extra_trees,4
stage_1,engineered_representation,engineering__PCA_PART_I_PATIENT_3_80,PCA_PART_I_PATIENT_3_80,none,3
stage_1,selector_configuration,raw__none__all,,none,3
stage_1,engineered_representation,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,INT_MOBILITY_X_POSTURAL_STABILITY,none,2
stage_1,engineered_representation,engineering__INT_MOTOR_X_COGNITION,INT_MOTOR_X_COGNITION,none,2
stage_1,engineered_representation,engineering__PCA_PART_I_PATIENT_3_90,PCA_PART_I_PATIENT_3_90,none,2
stage_1,engineered_representation,engineering__PCA_PART_I_PATIENT_3_95,PCA_PART_I_PATIENT_3_95,none,2
stage_1,engineered_representation,engineering__INT_DURATION_X_MOTOR,INT_DURATION_X_MOTOR,none,1
stage_1,engineered_representation,engineering__INT_GAIT_X_POSTURAL_STABILITY,INT_GAIT_X_POSTURAL_STABILITY,none,1
stage_2,selector_configuration,raw__extra_trees__threshold=median,,extra_trees,9
stage_2,selector_configuration,raw__corrected_fdr__q<=0.05,,corrected_fdr,7
stage_2,selector_configuration,raw__extra_trees__threshold=1.25*median,,extra_trees,6
stage_2,engineered_representation,engineering__PCA_PART_I_PATIENT_3_80,PCA_PART_I_PATIENT_3_80,none,5
stage_2,selector_configuration,raw__none__all,,none,4
stage_2,engineered_representation,engineering__PCA_PART_I_PATIENT_3_90,PCA_PART_I_PATIENT_3_90,none,3
stage_2,selector_configuration,raw__l1__C=0.1,,l1,3
stage_2,engineered_representation,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,INT_MOBILITY_X_POSTURAL_STABILITY,none,1
stage_2,engineered_representation,engineering__PCA_PART_I_PATIENT_3_95,PCA_PART_I_PATIENT_3_95,none,1
stage_2,selector_configuration,raw__l1__C=1.0,,l1,1
