split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds,retained_rank
0,direct,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,catboost,scaled_dense,0.5186547557120337,0.05357629965330262,0.4395161290322581,0.5508084066471163,0.6208597071327351,47.8,27.0,0.23073760040060734,5,1
0,direct,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,catboost,scaled_dense,0.5249125473241396,0.053177454112252956,0.4274193548387097,0.5589531567596084,0.6263486065186584,47.8,27.0,0.23542722479978692,5,2
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,rbf_svc,scaled_dense,0.6774972937647333,0.0313351601913387,0.6391304347826087,0.6890601668862538,0.7073878129428437,46.8,27.0,0.0668482833993039,5,1
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,rbf_svc,scaled_dense,0.6774972937647333,0.0313351601913387,0.6391304347826087,0.6890601668862538,0.7073878129428437,46.8,27.0,0.06860509179969085,5,2
0,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,lightgbm,scaled_dense,0.6766622967749256,0.03690372834983882,0.8300403225806452,0.6745439708141321,0.7347826086956522,45.0,27.0,0.16419855000058306,5,1
0,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,random_forest,scaled_dense,0.6639733864569057,0.036454635033405035,0.7987903225806452,0.6670142089093701,0.717391304347826,45.0,27.0,0.2646517668006709,5,2
1,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.5406968612812342,0.024548909119383195,0.4838709677419355,0.5836048968952194,0.6332262635805386,26.6,19.2,0.33410159180129995,5,1
1,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.5220433381136218,0.03528877954162749,0.3959677419354839,0.559097472420053,0.616769012753897,14.4,9.8,0.2792439749995538,5,2
1,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,extra_trees,unscaled_dense,0.6934489667956242,0.03139480958499194,0.6739130434782609,0.7074514712340799,0.7198110533774209,14.8,10.6,0.23376731680036755,5,1
1,stage_1,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,random_forest,scaled_dense,0.6935566584701409,0.04139264722375931,0.6217391304347826,0.6994958278436539,0.7280869154463864,47.8,27.0,0.2874275501999364,5,2
1,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.711853103909294,0.05663042569765978,0.7985887096774194,0.7164372119815667,0.7478260869565218,14.6,11.8,0.31643976679843033,5,1
1,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.7214159365822425,0.06415225135463598,0.7671370967741936,0.7359495007680492,0.7478260869565218,14.6,11.8,0.2814819165992958,5,2
2,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.5348287812230937,0.029413790865640457,0.4403225806451613,0.5840738568480504,0.6222201228153047,13.8,9.2,0.2760161497993977,5,1
