split_seed,target,patients,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,priority_recall
0,stage_1,312,0.6728988292853398,0.6982643524699599,0.6923076923076923,0.6822429906542056,0.7142857142857143,0.7142857142857143
0,stage_2,98,0.6241095890410959,0.6171568627450981,0.7142857142857143,0.8676470588235294,0.36666666666666664,0.8676470588235294
1,stage_1,312,0.6823888700373261,0.6861052832347893,0.7211538461538461,0.780373831775701,0.5918367346938775,0.5918367346938775
1,stage_2,98,0.6608187134502923,0.6656862745098039,0.7040816326530612,0.7647058823529411,0.5666666666666667,0.7647058823529411
2,stage_1,312,0.6899038461538461,0.6967385084875072,0.7243589743589743,0.7710280373831776,0.6224489795918368,0.6224489795918368
2,stage_2,98,0.6374269005847952,0.6416666666666666,0.6836734693877551,0.75,0.5333333333333333,0.75
3,stage_1,312,0.6744913928012519,0.6754720579820713,0.717948717948718,0.7897196261682243,0.5612244897959183,0.5612244897959183
3,stage_2,98,0.5782312925170068,0.5764705882352941,0.6836734693877551,0.8529411764705882,0.3,0.8529411764705882
4,stage_1,312,0.6558366975606982,0.6655063894716765,0.6891025641025641,0.7289719626168224,0.6020408163265306,0.6020408163265306
4,stage_2,98,0.7309941520467835,0.7377450980392157,0.7653061224489796,0.8088235294117647,0.6666666666666666,0.8088235294117647
5,stage_1,312,0.6643807987091569,0.6789052069425902,0.6923076923076923,0.7149532710280374,0.6428571428571429,0.6428571428571429
5,stage_2,98,0.615686274509804,0.6098039215686274,0.7040816326530612,0.8529411764705882,0.36666666666666664,0.8529411764705882
6,stage_1,312,0.6866071428571429,0.7039862674041579,0.7115384615384616,0.7242990654205608,0.6836734693877551,0.6836734693877551
6,stage_2,98,0.6662360540223136,0.675,0.7040816326530612,0.75,0.6,0.75
7,stage_1,312,0.6626639061421671,0.6697501430478734,0.6987179487179487,0.7476635514018691,0.5918367346938775,0.5918367346938775
7,stage_2,98,0.6508774244623301,0.6431372549019607,0.7244897959183674,0.8529411764705882,0.43333333333333335,0.8529411764705882
8,stage_1,312,0.6714636714636715,0.683148960518787,0.7019230769230769,0.7336448598130841,0.6326530612244898,0.6326530612244898
8,stage_2,98,0.6637254901960784,0.6637254901960784,0.7142857142857143,0.7941176470588235,0.5333333333333333,0.7941176470588235
9,stage_1,312,0.6856567136838249,0.6948312035094412,0.717948717948718,0.7570093457943925,0.6326530612244898,0.6326530612244898
9,stage_2,98,0.5897129186602871,0.5892156862745098,0.7142857142857143,0.9117647058823529,0.26666666666666666,0.9117647058823529
10,stage_1,312,0.7197020526525275,0.7324527942017929,0.7467948717948718,0.7710280373831776,0.6938775510204082,0.6938775510204082
10,stage_2,98,0.6436363636363637,0.6735294117647059,0.6632653061224489,0.6470588235294118,0.7,0.6470588235294118
11,stage_1,312,0.6728564180618974,0.6859145527369827,0.7019230769230769,0.7289719626168224,0.6428571428571429,0.6428571428571429
11,stage_2,98,0.7215909090909092,0.7303921568627451,0.7551020408163265,0.7941176470588235,0.6666666666666666,0.7941176470588235
12,stage_1,312,0.6722689075630253,0.676330345222201,0.7115384615384616,0.7710280373831776,0.5816326530612245,0.5816326530612245
12,stage_2,98,0.7155118010854474,0.7098039215686274,0.7653061224489796,0.8529411764705882,0.5666666666666667,0.8529411764705882
13,stage_1,312,0.6493935286553366,0.6544440205988937,0.6891025641025641,0.7476635514018691,0.5612244897959183,0.5612244897959183
13,stage_2,98,0.6786885245901639,0.6803921568627451,0.7244897959183674,0.7941176470588235,0.5666666666666667,0.7941176470588235
14,stage_1,312,0.6907451143552907,0.6862960137325959,0.7403846153846154,0.8317757009345794,0.5408163265306123,0.5408163265306123
14,stage_2,98,0.6137387387387387,0.6078431372549019,0.7142857142857143,0.8823529411764706,0.3333333333333333,0.8823529411764706
15,stage_1,312,0.6906934001670844,0.7090883082204844,0.7147435897435898,0.7242990654205608,0.6938775510204082,0.6938775510204082
15,stage_2,98,0.671178988777045,0.6843137254901961,0.7040816326530612,0.7352941176470589,0.6333333333333333,0.7352941176470589
16,stage_1,312,0.6350474508938424,0.6527751287430861,0.6602564102564102,0.6728971962616822,0.6326530612244898,0.6326530612244898
16,stage_2,98,0.7392109221335185,0.7563725490196078,0.7653061224489796,0.7794117647058824,0.7333333333333333,0.7794117647058824
17,stage_1,312,0.6427917200952555,0.650200267022697,0.6794871794871795,0.7289719626168224,0.5714285714285714,0.5714285714285714
17,stage_2,98,0.687536231884058,0.6705882352941177,0.7755102040816326,0.9411764705882353,0.4,0.9411764705882353
18,stage_1,312,0.6694769366585742,0.6899675758153729,0.6923076923076923,0.6962616822429907,0.6836734693877551,0.6836734693877551
18,stage_2,98,0.6834836841519101,0.7122549019607842,0.7040816326530612,0.6911764705882353,0.7333333333333333,0.6911764705882353
19,stage_1,312,0.7009978014544225,0.7156685103948122,0.7275641025641025,0.7476635514018691,0.6836734693877551,0.6836734693877551
19,stage_2,98,0.723943661971831,0.7509803921568627,0.7448979591836735,0.7352941176470589,0.7666666666666667,0.7352941176470589
