split_seed,system,true_class,predicted_class,patients
0,direct,0,0,144
0,direct,0,1,45
0,direct,0,2,25
0,direct,1,0,22
0,direct,1,1,29
0,direct,1,2,17
0,direct,2,0,3
0,direct,2,1,8
0,direct,2,2,19
0,two_stage,0,0,146
0,two_stage,0,1,55
0,two_stage,0,2,13
0,two_stage,1,0,24
0,two_stage,1,1,35
0,two_stage,1,2,9
0,two_stage,2,0,4
0,two_stage,2,1,15
0,two_stage,2,2,11
1,direct,0,0,157
1,direct,0,1,38
1,direct,0,2,19
1,direct,1,0,28
1,direct,1,1,25
1,direct,1,2,15
1,direct,2,0,2
1,direct,2,1,10
1,direct,2,2,18
1,two_stage,0,0,167
1,two_stage,0,1,30
1,two_stage,0,2,17
1,two_stage,1,0,36
1,two_stage,1,1,17
1,two_stage,1,2,15
1,two_stage,2,0,4
1,two_stage,2,1,9
1,two_stage,2,2,17
2,direct,0,0,157
2,direct,0,1,42
2,direct,0,2,15
2,direct,1,0,28
2,direct,1,1,23
2,direct,1,2,17
2,direct,2,0,4
2,direct,2,1,10
2,direct,2,2,16
2,two_stage,0,0,165
2,two_stage,0,1,33
2,two_stage,0,2,16
2,two_stage,1,0,31
2,two_stage,1,1,25
2,two_stage,1,2,12
2,two_stage,2,0,6
2,two_stage,2,1,10
2,two_stage,2,2,14
3,direct,0,0,156
3,direct,0,1,45
3,direct,0,2,13
3,direct,1,0,30
3,direct,1,1,29
3,direct,1,2,9
3,direct,2,0,8
3,direct,2,1,10
3,direct,2,2,12
3,two_stage,0,0,169
3,two_stage,0,1,38
3,two_stage,0,2,7
3,two_stage,1,0,35
3,two_stage,1,1,23
3,two_stage,1,2,10
3,two_stage,2,0,8
3,two_stage,2,1,13
3,two_stage,2,2,9
4,direct,0,0,147
4,direct,0,1,43
4,direct,0,2,24
4,direct,1,0,23
4,direct,1,1,29
4,direct,1,2,16
4,direct,2,0,5
4,direct,2,1,6
4,direct,2,2,19
4,two_stage,0,0,156
4,two_stage,0,1,41
4,two_stage,0,2,17
4,two_stage,1,0,31
4,two_stage,1,1,26
4,two_stage,1,2,11
4,two_stage,2,0,8
4,two_stage,2,1,5
4,two_stage,2,2,17
5,direct,0,0,139
5,direct,0,1,62
5,direct,0,2,13
5,direct,1,0,28
5,direct,1,1,31
5,direct,1,2,9
5,direct,2,0,1
5,direct,2,1,12
5,direct,2,2,17
5,two_stage,0,0,153
5,two_stage,0,1,51
5,two_stage,0,2,10
5,two_stage,1,0,33
5,two_stage,1,1,27
5,two_stage,1,2,8
5,two_stage,2,0,2
5,two_stage,2,1,18
