split_seed,direct_minus_two_stage_macro_f1,direct_minus_two_stage_balanced_accuracy,direct_minus_two_stage_accuracy,direct_minus_two_stage_recall_no_fall,direct_minus_two_stage_recall_rare_fall,direct_minus_two_stage_recall_recurrent_fall
0,0.016599787513846498,0.05636185938549876,0.0,-0.009345794392523366,-0.08823529411764702,0.26666666666666666
1,0.026251416489419477,0.034750473398082016,-0.0032051282051281937,-0.04672897196261683,0.11764705882352944,0.033333333333333326
2,-0.012904706334497584,-4.275853643642691e-05,-0.02564102564102566,-0.03738317757009346,-0.02941176470588236,0.06666666666666665
3,0.027495122091337032,0.04249587685541506,-0.012820512820512886,-0.06074766355140193,0.08823529411764702,0.10000000000000003
4,-0.0025291542589611637,0.022909412986378497,-0.012820512820512775,-0.04205607476635509,0.04411764705882354,0.06666666666666665
5,0.0478646361458287,0.07557876733247815,-0.009615384615384581,-0.06542056074766356,0.05882352941176472,0.23333333333333334
6,0.0011950713563616544,0.012027365463319284,-0.022435897435897467,-0.05607476635514019,0.05882352941176466,0.033333333333333326
7,0.006218455592589156,0.01825789505833475,-0.009615384615384581,-0.03738317757009346,0.05882352941176472,0.033333333333333326
8,-0.00983887414573692,-0.0062519088632339015,-0.02564102564102566,-0.03738317757009346,-0.01470588235294118,0.033333333333333326
9,0.012244527513195769,0.04284405350925413,-0.01602564102564108,-0.04205607476635509,-0.02941176470588236,0.2
10,0.008392136245920612,0.012277808319589467,-0.01602564102564108,-0.051401869158878566,0.08823529411764708,0.0
11,-0.06764773292103338,-0.10107812595443155,-0.03205128205128216,-0.014018691588784993,0.044117647058823484,-0.3333333333333333
12,-0.036584643981849685,-0.015347260399486862,-0.038461538461538436,-0.06074766355140193,0.01470588235294118,0.0
13,-0.011100373638767591,-0.029738562091503218,-0.0032051282051281937,0.0,0.04411764705882354,-0.1333333333333333
14,-0.002637037163397804,0.027768615234255667,-0.03525641025641024,-0.07943925233644855,0.029411764705882304,0.13333333333333336
15,0.028204527586280004,0.029619449025716116,0.0,-0.032710280373831835,0.08823529411764702,0.033333333333333326
16,0.03565107957097258,0.011862439679921732,0.022435897435897467,0.014018691588785104,0.08823529411764702,-0.06666666666666665
17,0.00020230147831468148,0.04284405350925413,-0.01602564102564097,-0.04205607476635509,-0.02941176470588236,0.2
18,0.00827420948836377,0.004511025594038154,-0.019230769230769162,-0.05607476635514019,0.1029411764705882,-0.033333333333333326
19,-0.00728812760291675,-0.04579744670453845,0.038461538461538436,0.10280373831775702,-0.0735294117647059,-0.16666666666666674
