target,selected_column,selected_seeds
direct,FOG_FORM_MISSING,20
direct,FRZGT12M,20
direct,NHY_COMBINED_MAX,20
direct,NP3GAIT_COMBINED_MAX,20
direct,NP3PSTBL_COMBINED_MAX,20
direct,NP4TOT,20
direct,NQ_FORM_MISSING,20
direct,NQ_GAUSSIAN_REVISION,20
direct,PART_IV_FORM_MISSING,20
direct,Years_since_PD_diagnosis,20
direct,NP1RTOT,18
direct,ANYFAMPD_Missing,16
direct,ANYFAMPD_No,16
direct,ANYFAMPD_Yes,16
direct,NP1CNST,16
direct,NP1URIN,16
direct,DOPTHERST_Missing,15
direct,DOPTHERST_No,15
direct,DOPTHERST_Yes,15
direct,SCAU14,15
direct,Age,13
direct,GDS_TOTAL,13
direct,MCATOT,13
direct,NP3TOT_COMBINED_MAX,13
direct,SCAU16,12
direct,NP1SLPD,11
direct,FEATPOSHYP_No,10
direct,FEATPOSHYP_Uncertain,10
direct,FEATPOSHYP_Yes,10
direct,DOMSIDE_Left,7
direct,DOMSIDE_Right,7
direct,DOMSIDE_Symmetric,7
direct,DOMSIDE_Unknown,7
direct,DXBRADY_No,7
direct,DXBRADY_Unknown,7
direct,DXBRADY_Yes,7
direct,BMI,6
direct,DXPOSINS_No,6
direct,DXPOSINS_Unknown,6
direct,DXPOSINS_Yes,6
direct,DXRIGID_No,6
direct,DXRIGID_Unknown,6
direct,DXRIGID_Yes,6
direct,DXTREMOR_No,6
direct,DXTREMOR_Unknown,6
direct,DXTREMOR_Yes,6
direct,DXPOSINS_Missing,5
direct,INT_GAIT_X_POSTURAL_STABILITY,2
direct,INT_DURATION_X_MOTOR,1
direct,INT_MOTOR_X_COGNITION,1
direct,PCA_PART_I_PATIENT_3_80_PC1,1
direct,PCA_PART_I_PATIENT_3_80_PC2,1
direct,PCA_PART_I_PATIENT_3_90_PC1,1
direct,PCA_PART_I_PATIENT_3_90_PC2,1
direct,PCA_PART_I_PATIENT_3_90_PC3,1
stage_1,FOG_FORM_MISSING,20
stage_1,FRZGT12M,20
stage_1,NP3GAIT_COMBINED_MAX,20
stage_1,NP4TOT,20
stage_1,NQ_FORM_MISSING,20
stage_1,NQ_GAUSSIAN_REVISION,20
stage_1,PART_IV_FORM_MISSING,20
stage_1,NP1RTOT,19
stage_1,Years_since_PD_diagnosis,19
stage_1,Age,18
stage_1,NP3PSTBL_COMBINED_MAX,18
stage_1,DOPTHERST_Missing,17
stage_1,DOPTHERST_No,17
stage_1,DOPTHERST_Yes,17
stage_1,NP1CNST,17
stage_1,MCATOT,16
stage_1,NHY_COMBINED_MAX,16
stage_1,NP3TOT_COMBINED_MAX,15
stage_1,BMI,14
stage_1,DXBRADY_No,13
stage_1,DXBRADY_Unknown,13
stage_1,DXBRADY_Yes,13
stage_1,GDS_TOTAL,13
stage_1,ANYFAMPD_Missing,12
stage_1,ANYFAMPD_No,12
stage_1,ANYFAMPD_Yes,12
stage_1,NP1URIN,12
stage_1,SCAU16,10
stage_1,DXTREMOR_No,9
stage_1,DXTREMOR_Unknown,9
stage_1,DXTREMOR_Yes,9
stage_1,SCAU14,9
stage_1,FEATPOSHYP_No,8
stage_1,FEATPOSHYP_Uncertain,8
stage_1,FEATPOSHYP_Yes,8
stage_1,DOMSIDE_Left,7
stage_1,DOMSIDE_Right,7
stage_1,DOMSIDE_Symmetric,7
stage_1,DOMSIDE_Unknown,7
stage_1,DXPOSINS_No,7
stage_1,DXPOSINS_Unknown,7
stage_1,DXPOSINS_Yes,7
stage_1,DXRIGID_No,7
stage_1,DXRIGID_Unknown,7
stage_1,DXRIGID_Yes,7
stage_1,NP1SLPD,7
stage_1,DXPOSINS_Missing,5
stage_1,PCA_PART_I_PATIENT_3_90_PC1,2
stage_1,PCA_PART_I_PATIENT_3_90_PC2,2
stage_1,PCA_PART_I_PATIENT_3_90_PC3,2
stage_1,INT_DURATION_X_MOTOR,1
stage_1,INT_GAIT_X_POSTURAL_STABILITY,1
stage_1,INT_MOBILITY_X_POSTURAL_STABILITY,1
stage_1,PCA_PART_I_PATIENT_3_80_PC1,1
stage_1,PCA_PART_I_PATIENT_3_80_PC2,1
stage_2,FOG_FORM_MISSING,20
stage_2,FRZGT12M,20
stage_2,NHY_COMBINED_MAX,20
stage_2,NP4TOT,20
stage_2,PART_IV_FORM_MISSING,20
stage_2,NQ_FORM_MISSING,19
stage_2,NQ_GAUSSIAN_REVISION,19
stage_2,Years_since_PD_diagnosis,19
stage_2,NP3GAIT_COMBINED_MAX,18
stage_2,NP3PSTBL_COMBINED_MAX,18
stage_2,SCAU14,18
stage_2,ANYFAMPD_Missing,13
stage_2,ANYFAMPD_No,13
stage_2,ANYFAMPD_Yes,13
stage_2,NP1URIN,13
stage_2,NP1RTOT,11
stage_2,DOMSIDE_Left,10
stage_2,DOMSIDE_Right,10
stage_2,DOMSIDE_Symmetric,10
stage_2,DOMSIDE_Unknown,10
stage_2,GDS_TOTAL,10
stage_2,FEATPOSHYP_No,8
stage_2,FEATPOSHYP_Uncertain,8
stage_2,FEATPOSHYP_Yes,8
stage_2,NP1SLPD,8
stage_2,NP3TOT_COMBINED_MAX,8
stage_2,DOPTHERST_Missing,7
stage_2,DOPTHERST_No,7
stage_2,DOPTHERST_Yes,7
stage_2,DXBRADY_No,6
stage_2,DXBRADY_Unknown,6
stage_2,DXBRADY_Yes,6
stage_2,DXRIGID_No,5
stage_2,DXRIGID_Unknown,5
stage_2,DXRIGID_Yes,5
stage_2,DXTREMOR_No,5
stage_2,DXTREMOR_Yes,5
stage_2,Age,4
stage_2,BMI,4
stage_2,DXPOSINS_No,4
stage_2,DXPOSINS_Unknown,4
stage_2,DXPOSINS_Yes,4
stage_2,DXTREMOR_Unknown,4
stage_2,MCATOT,4
stage_2,SCAU16,4
stage_2,NP1CNST,3
stage_2,PCA_PART_I_PATIENT_3_90_PC1,2
stage_2,PCA_PART_I_PATIENT_3_90_PC2,2
stage_2,PCA_PART_I_PATIENT_3_90_PC3,2
stage_2,PCA_PART_I_PATIENT_3_80_PC1,1
stage_2,PCA_PART_I_PATIENT_3_80_PC2,1
