split_seed,target,retained_rank,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,grid_id,parameters,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds
0,direct,2,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,catboost,scaled_dense,9,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.5055710534910021,0.07125029641185555,0.39576612903225805,0.5368099698986797,0.6208408124704772,47.8,27.0,0.38082454160030466,5
0,stage_1,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,rbf_svc,scaled_dense,1,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.6794015509414268,0.023445238347260165,0.6869565217391305,0.6989328063241107,0.7032593292394897,46.8,27.0,0.0337868166003318,5
0,stage_2,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,lightgbm,scaled_dense,2,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}",0.6827435096872436,0.05785637865260854,0.8931451612903226,0.672286866359447,0.7565217391304347,45.0,27.0,0.14742898359909304,5
1,direct,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,1,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.5249995589896199,0.03310460642024269,0.4524193548387097,0.5786525314589831,0.6125649504015115,27.2,19.4,0.34530749199911953,5
1,stage_1,2,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,random_forest,scaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6936841566975885,0.04398864521533429,0.6304347826086957,0.7008335529205094,0.7267264997638166,47.8,27.0,0.19664655860033237,5
1,stage_2,2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,6,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.7223886703365509,0.061713135338394585,0.8046370967741936,0.7261280721966206,0.7565217391304347,14.6,11.8,0.2768156666003051,5
2,direct,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5421310504315915,0.03681345442226363,0.4211693548387097,0.5873537099101614,0.6373075106282475,15.4,10.0,0.2849576665990753,5
2,stage_1,1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,rbf_svc,scaled_dense,11,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.1}",0.6724517805925005,0.03470421009749274,0.6347826086956522,0.6838559508124725,0.7019083608880491,21.8,14.8,0.043757300000288525,5
2,stage_2,2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,lightgbm,native,7,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}",0.7051821537893722,0.06632174182349718,0.8175403225806452,0.7040082565284178,0.7478260869565218,23.6,13.0,0.2388292330004333,5
3,direct,2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5496796443340664,0.05442871735460998,0.4348790322580645,0.5886229770826545,0.6415115729806329,17.4,10.8,0.27584385839872994,5
