model_family,grid_id,parameters
logistic,0,"{""C"": 0.1, ""class_weight"": null}"
logistic,1,"{""C"": 0.1, ""class_weight"": ""balanced""}"
logistic,2,"{""C"": 1.0, ""class_weight"": null}"
logistic,3,"{""C"": 1.0, ""class_weight"": ""balanced""}"
logistic,4,"{""C"": 10.0, ""class_weight"": null}"
logistic,5,"{""C"": 10.0, ""class_weight"": ""balanced""}"
linear_svc,0,"{""C"": 0.1, ""class_weight"": null}"
linear_svc,1,"{""C"": 0.1, ""class_weight"": ""balanced""}"
linear_svc,2,"{""C"": 1.0, ""class_weight"": null}"
linear_svc,3,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svc,4,"{""C"": 10.0, ""class_weight"": null}"
linear_svc,5,"{""C"": 10.0, ""class_weight"": ""balanced""}"
rbf_svc,0,"{""C"": 0.1, ""class_weight"": null, ""gamma"": ""scale""}"
rbf_svc,1,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
rbf_svc,2,"{""C"": 0.1, ""class_weight"": null, ""gamma"": 0.01}"
rbf_svc,3,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
rbf_svc,4,"{""C"": 0.1, ""class_weight"": null, ""gamma"": 0.1}"
rbf_svc,5,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
rbf_svc,6,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}"
rbf_svc,7,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
rbf_svc,8,"{""C"": 1.0, ""class_weight"": null, ""gamma"": 0.01}"
rbf_svc,9,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
rbf_svc,10,"{""C"": 1.0, ""class_weight"": null, ""gamma"": 0.1}"
rbf_svc,11,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
rbf_svc,12,"{""C"": 10.0, ""class_weight"": null, ""gamma"": ""scale""}"
rbf_svc,13,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
rbf_svc,14,"{""C"": 10.0, ""class_weight"": null, ""gamma"": 0.01}"
rbf_svc,15,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
rbf_svc,16,"{""C"": 10.0, ""class_weight"": null, ""gamma"": 0.1}"
rbf_svc,17,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
random_forest,0,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
random_forest,1,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
random_forest,2,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
random_forest,3,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
random_forest,4,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
random_forest,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
random_forest,6,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
random_forest,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees,0,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
extra_trees,1,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees,2,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
extra_trees,3,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees,4,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
extra_trees,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
extra_trees,6,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
extra_trees,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
hist_gradient_boosting,0,"{""class_weight"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
hist_gradient_boosting,1,"{""class_weight"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
hist_gradient_boosting,2,"{""class_weight"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
hist_gradient_boosting,3,"{""class_weight"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
hist_gradient_boosting,4,"{""class_weight"": null, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
hist_gradient_boosting,5,"{""class_weight"": null, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
