sensitivity_id,backend,model_columns,selection_groups,test_missing_cells,derived_indicators,revision_dopamine_fill
P00_PRIMARY_REPRODUCTION,scaled_dense,47,26,0,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING,
P00_PRIMARY_REPRODUCTION,native,47,26,56,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING,
S01_101_FLAGS,scaled_dense,50,29,0,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING,
S01_101_FLAGS,native,50,29,56,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING,
S02_ON_OFF,scaled_dense,53,24,0,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING | ON_STATE_AVAILABLE | OFF_STATE_AVAILABLE,
S02_ON_OFF,native,53,24,657,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING | ON_STATE_AVAILABLE | OFF_STATE_AVAILABLE,
S03_COHORT_1043,scaled_dense,49,27,0,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING | NO_ELIGIBLE_LONGITUDINAL_HISTORY,
S03_COHORT_1043,native,49,27,56,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING | NO_ELIGIBLE_LONGITUDINAL_HISTORY,
S04_REVISION_PREPROCESSING,scaled_dense,42,26,0,DOPTHERST_MISSING,Yes
S04_REVISION_PREPROCESSING,native,42,26,38,DOPTHERST_MISSING,Yes
S05_CONSTIPATION_LATEST,scaled_dense,47,26,0,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING,
S05_CONSTIPATION_LATEST,native,47,26,56,FOG_FORM_MISSING | NQ_FORM_MISSING | PART_IV_FORM_MISSING,
