sensitivity_id,split_seed
P00_PRIMARY_REPRODUCTION,0
P00_PRIMARY_REPRODUCTION,1
P00_PRIMARY_REPRODUCTION,2
P00_PRIMARY_REPRODUCTION,3
P00_PRIMARY_REPRODUCTION,4
P00_PRIMARY_REPRODUCTION,5
P00_PRIMARY_REPRODUCTION,6
P00_PRIMARY_REPRODUCTION,7
P00_PRIMARY_REPRODUCTION,8
P00_PRIMARY_REPRODUCTION,9
P00_PRIMARY_REPRODUCTION,10
P00_PRIMARY_REPRODUCTION,11
P00_PRIMARY_REPRODUCTION,12
P00_PRIMARY_REPRODUCTION,13
P00_PRIMARY_REPRODUCTION,14
P00_PRIMARY_REPRODUCTION,15
P00_PRIMARY_REPRODUCTION,16
P00_PRIMARY_REPRODUCTION,17
P00_PRIMARY_REPRODUCTION,18
P00_PRIMARY_REPRODUCTION,19
S01_101_FLAGS,0
S01_101_FLAGS,1
S01_101_FLAGS,2
S01_101_FLAGS,3
S01_101_FLAGS,4
S01_101_FLAGS,5
S01_101_FLAGS,6
S01_101_FLAGS,7
S01_101_FLAGS,8
S01_101_FLAGS,9
S01_101_FLAGS,10
S01_101_FLAGS,11
S01_101_FLAGS,12
S01_101_FLAGS,13
S01_101_FLAGS,14
S01_101_FLAGS,15
S01_101_FLAGS,16
S01_101_FLAGS,17
S01_101_FLAGS,18
S01_101_FLAGS,19
S02_ON_OFF,0
S02_ON_OFF,1
S02_ON_OFF,2
S02_ON_OFF,3
S02_ON_OFF,4
S02_ON_OFF,5
S02_ON_OFF,6
S02_ON_OFF,7
S02_ON_OFF,8
S02_ON_OFF,9
S02_ON_OFF,10
S02_ON_OFF,11
S02_ON_OFF,12
S02_ON_OFF,13
S02_ON_OFF,14
S02_ON_OFF,15
S02_ON_OFF,16
S02_ON_OFF,17
S02_ON_OFF,18
S02_ON_OFF,19
S03_COHORT_1043,0
S03_COHORT_1043,1
S03_COHORT_1043,2
S03_COHORT_1043,3
S03_COHORT_1043,4
S03_COHORT_1043,5
S03_COHORT_1043,6
S03_COHORT_1043,7
S03_COHORT_1043,8
S03_COHORT_1043,9
S03_COHORT_1043,10
S03_COHORT_1043,11
S03_COHORT_1043,12
S03_COHORT_1043,13
S03_COHORT_1043,14
S03_COHORT_1043,15
S03_COHORT_1043,16
S03_COHORT_1043,17
S03_COHORT_1043,18
S03_COHORT_1043,19
S04_REVISION_PREPROCESSING,0
S04_REVISION_PREPROCESSING,1
S04_REVISION_PREPROCESSING,2
S04_REVISION_PREPROCESSING,3
S04_REVISION_PREPROCESSING,4
S04_REVISION_PREPROCESSING,5
S04_REVISION_PREPROCESSING,6
S04_REVISION_PREPROCESSING,7
S04_REVISION_PREPROCESSING,8
S04_REVISION_PREPROCESSING,9
S04_REVISION_PREPROCESSING,10
S04_REVISION_PREPROCESSING,11
S04_REVISION_PREPROCESSING,12
S04_REVISION_PREPROCESSING,13
S04_REVISION_PREPROCESSING,14
S04_REVISION_PREPROCESSING,15
S04_REVISION_PREPROCESSING,16
S04_REVISION_PREPROCESSING,17
S04_REVISION_PREPROCESSING,18
S04_REVISION_PREPROCESSING,19
S05_CONSTIPATION_LATEST,0
S05_CONSTIPATION_LATEST,1
S05_CONSTIPATION_LATEST,2
S05_CONSTIPATION_LATEST,3
S05_CONSTIPATION_LATEST,4
S05_CONSTIPATION_LATEST,5
S05_CONSTIPATION_LATEST,6
S05_CONSTIPATION_LATEST,7
S05_CONSTIPATION_LATEST,8
S05_CONSTIPATION_LATEST,9
S05_CONSTIPATION_LATEST,10
S05_CONSTIPATION_LATEST,11
S05_CONSTIPATION_LATEST,12
S05_CONSTIPATION_LATEST,13
S05_CONSTIPATION_LATEST,14
S05_CONSTIPATION_LATEST,15
S05_CONSTIPATION_LATEST,16
S05_CONSTIPATION_LATEST,17
S05_CONSTIPATION_LATEST,18
S05_CONSTIPATION_LATEST,19
