sensitivity_id,target,column,selected_seeds,seeds
S01_101_FLAGS,direct,NP3GAIT_WAS_101_EVER,11,20
S01_101_FLAGS,direct,NP3PSTBL_WAS_101_EVER,16,20
S01_101_FLAGS,direct,NHY_WAS_101_EVER,13,20
S01_101_FLAGS,stage_1,NP3GAIT_WAS_101_EVER,9,20
S01_101_FLAGS,stage_1,NP3PSTBL_WAS_101_EVER,13,20
S01_101_FLAGS,stage_1,NHY_WAS_101_EVER,10,20
S01_101_FLAGS,stage_2,NP3GAIT_WAS_101_EVER,7,20
S01_101_FLAGS,stage_2,NP3PSTBL_WAS_101_EVER,7,20
S01_101_FLAGS,stage_2,NHY_WAS_101_EVER,4,20
S02_ON_OFF,direct,NP3TOT_ON_MAX,20,20
S02_ON_OFF,direct,NP3GAIT_ON_MAX,20,20
S02_ON_OFF,direct,NP3PSTBL_ON_MAX,20,20
S02_ON_OFF,direct,NHY_ON_MAX,20,20
S02_ON_OFF,direct,NP3TOT_OFF_MAX,20,20
S02_ON_OFF,direct,NP3GAIT_OFF_MAX,20,20
S02_ON_OFF,direct,NP3PSTBL_OFF_MAX,20,20
S02_ON_OFF,direct,NHY_OFF_MAX,20,20
S02_ON_OFF,direct,ON_STATE_AVAILABLE,20,20
S02_ON_OFF,direct,OFF_STATE_AVAILABLE,20,20
S02_ON_OFF,stage_1,NP3TOT_ON_MAX,20,20
S02_ON_OFF,stage_1,NP3GAIT_ON_MAX,20,20
S02_ON_OFF,stage_1,NP3PSTBL_ON_MAX,20,20
S02_ON_OFF,stage_1,NHY_ON_MAX,20,20
S02_ON_OFF,stage_1,NP3TOT_OFF_MAX,20,20
S02_ON_OFF,stage_1,NP3GAIT_OFF_MAX,20,20
S02_ON_OFF,stage_1,NP3PSTBL_OFF_MAX,20,20
S02_ON_OFF,stage_1,NHY_OFF_MAX,20,20
S02_ON_OFF,stage_1,ON_STATE_AVAILABLE,20,20
S02_ON_OFF,stage_1,OFF_STATE_AVAILABLE,20,20
S02_ON_OFF,stage_2,NP3TOT_ON_MAX,19,20
S02_ON_OFF,stage_2,NP3GAIT_ON_MAX,19,20
S02_ON_OFF,stage_2,NP3PSTBL_ON_MAX,19,20
S02_ON_OFF,stage_2,NHY_ON_MAX,19,20
S02_ON_OFF,stage_2,NP3TOT_OFF_MAX,19,20
S02_ON_OFF,stage_2,NP3GAIT_OFF_MAX,19,20
S02_ON_OFF,stage_2,NP3PSTBL_OFF_MAX,19,20
S02_ON_OFF,stage_2,NHY_OFF_MAX,19,20
S02_ON_OFF,stage_2,ON_STATE_AVAILABLE,19,20
S02_ON_OFF,stage_2,OFF_STATE_AVAILABLE,19,20
S03_COHORT_1043,direct,NO_ELIGIBLE_LONGITUDINAL_HISTORY,6,20
S03_COHORT_1043,stage_1,NO_ELIGIBLE_LONGITUDINAL_HISTORY,14,20
S03_COHORT_1043,stage_2,NO_ELIGIBLE_LONGITUDINAL_HISTORY,4,20
S04_REVISION_PREPROCESSING,direct,DOPTHERST_MISSING,15,20
S04_REVISION_PREPROCESSING,stage_1,DOPTHERST_MISSING,19,20
S04_REVISION_PREPROCESSING,stage_2,DOPTHERST_MISSING,6,20
S05_CONSTIPATION_LATEST,direct,NP1CNST,11,20
S05_CONSTIPATION_LATEST,stage_1,NP1CNST,13,20
S05_CONSTIPATION_LATEST,stage_2,NP1CNST,1,20
