sensitivity_id,split_seed,system,true_class,predicted_class,patients
S01_101_FLAGS,0,direct,0,0,147
S01_101_FLAGS,0,direct,0,1,46
S01_101_FLAGS,0,direct,0,2,21
S01_101_FLAGS,0,direct,1,0,23
S01_101_FLAGS,0,direct,1,1,27
S01_101_FLAGS,0,direct,1,2,18
S01_101_FLAGS,0,direct,2,0,2
S01_101_FLAGS,0,direct,2,1,10
S01_101_FLAGS,0,direct,2,2,18
S01_101_FLAGS,0,two_stage,0,0,141
S01_101_FLAGS,0,two_stage,0,1,58
S01_101_FLAGS,0,two_stage,0,2,15
S01_101_FLAGS,0,two_stage,1,0,19
S01_101_FLAGS,0,two_stage,1,1,41
S01_101_FLAGS,0,two_stage,1,2,8
S01_101_FLAGS,0,two_stage,2,0,3
S01_101_FLAGS,0,two_stage,2,1,15
S01_101_FLAGS,0,two_stage,2,2,12
S01_101_FLAGS,1,direct,0,0,155
S01_101_FLAGS,1,direct,0,1,41
S01_101_FLAGS,1,direct,0,2,18
S01_101_FLAGS,1,direct,1,0,28
S01_101_FLAGS,1,direct,1,1,26
S01_101_FLAGS,1,direct,1,2,14
S01_101_FLAGS,1,direct,2,0,2
S01_101_FLAGS,1,direct,2,1,11
S01_101_FLAGS,1,direct,2,2,17
S01_101_FLAGS,1,two_stage,0,0,168
S01_101_FLAGS,1,two_stage,0,1,29
S01_101_FLAGS,1,two_stage,0,2,17
S01_101_FLAGS,1,two_stage,1,0,35
S01_101_FLAGS,1,two_stage,1,1,18
S01_101_FLAGS,1,two_stage,1,2,15
S01_101_FLAGS,1,two_stage,2,0,4
S01_101_FLAGS,1,two_stage,2,1,9
S01_101_FLAGS,1,two_stage,2,2,17
S01_101_FLAGS,2,direct,0,0,157
S01_101_FLAGS,2,direct,0,1,42
S01_101_FLAGS,2,direct,0,2,15
S01_101_FLAGS,2,direct,1,0,24
S01_101_FLAGS,2,direct,1,1,26
S01_101_FLAGS,2,direct,1,2,18
S01_101_FLAGS,2,direct,2,0,3
S01_101_FLAGS,2,direct,2,1,11
S01_101_FLAGS,2,direct,2,2,16
