sensitivity_id,system,metric,mean_difference,ci95_low,ci95_high,corrected_resampled_p_value,seeds_higher,seeds_lower,n_outer_seeds,test_train_ratio
S01_101_FLAGS,direct,macro_f1,0.0006708908899715372,-0.017238869944296156,0.01858065172423923,0.9383267972025638,9,11,20,0.42857142857142855
S01_101_FLAGS,direct,balanced_accuracy,-0.001753863539185152,-0.022656003740480476,0.01914827666211017,0.8624489943911335,8,12,20,0.42857142857142855
S01_101_FLAGS,direct,accuracy,0.0009615384615384581,-0.016146267962693108,0.018069344885770024,0.9075894185819597,9,10,20,0.42857142857142855
S01_101_FLAGS,direct,macro_auc_ovr,-0.0008713220483441864,-0.008524079085027845,0.006781434988339471,0.8141949970402077,6,14,20,0.42857142857142855
S01_101_FLAGS,direct,recall_no_fall,0.00233644859813083,-0.016988701614543574,0.021661598810805236,0.8029467185621713,8,9,20,0.42857142857142855
S01_101_FLAGS,direct,recall_rare_fall,0.0007352941176470826,-0.049308832167499046,0.050779420402793214,0.9757875666062872,11,7,20,0.42857142857142855
S01_101_FLAGS,direct,recall_recurrent_fall,-0.008333333333333328,-0.054983019519009316,0.03831635285234267,0.712625566414892,5,8,20,0.42857142857142855
S01_101_FLAGS,two_stage,macro_f1,-0.0016247733443025103,-0.029645995320150276,0.026396448631545257,0.9046792509694616,10,10,20,0.42857142857142855
S01_101_FLAGS,two_stage,balanced_accuracy,-0.0015179280434915344,-0.030533101161320287,0.027497245074337217,0.9139569164736238,9,10,20,0.42857142857142855
S01_101_FLAGS,two_stage,accuracy,-0.0009615384615384692,-0.020483122879713107,0.01856004595663617,0.9189701420675609,8,11,20,0.42857142857142855
S01_101_FLAGS,two_stage,macro_auc_ovr,-0.00016511995082653662,-0.008729569812280336,0.008399329910627262,0.9682328291508858,10,10,20,0.42857142857142855
S01_101_FLAGS,two_stage,recall_no_fall,-0.0021028037383177545,-0.020400074079715613,0.016194466603080104,0.8124883017795731,6,6,20,0.42857142857142855
S01_101_FLAGS,two_stage,recall_rare_fall,0.0058823529411765,-0.05330445492097933,0.06506916080333233,0.8374286679028076,12,8,20,0.42857142857142855
S01_101_FLAGS,two_stage,recall_recurrent_fall,-0.008333333333333321,-0.07636451678026857,0.05969785011360193,0.8004125471225458,5,5,20,0.42857142857142855
S02_ON_OFF,direct,macro_f1,-0.007210029354612041,-0.03933428225122172,0.02491422354199764,0.6438713784557574,4,16,20,0.42857142857142855
S02_ON_OFF,direct,balanced_accuracy,-0.009122075621525847,-0.047118443823381574,0.028874292580329884,0.6210983948136657,6,14,20,0.42857142857142855
S02_ON_OFF,direct,accuracy,-0.0024038461538461397,-0.026769508780975972,0.021961816473283696,0.8386035095270442,7,12,20,0.42857142857142855
S02_ON_OFF,direct,macro_auc_ovr,-0.005621556832158281,-0.018933116101918973,0.007690002437602412,0.38779968552962213,5,15,20,0.42857142857142855
S02_ON_OFF,direct,recall_no_fall,0.0032710280373831778,-0.026995533514639864,0.03353758958940622,0.8234603529250153,9,10,20,0.42857142857142855
S02_ON_OFF,direct,recall_rare_fall,-0.013970588235294078,-0.08252570619803523,0.05458452972744707,0.6745157332581465,7,11,20,0.42857142857142855
S02_ON_OFF,direct,recall_recurrent_fall,-0.016666666666666663,-0.10314642461558754,0.06981309128225421,0.6911760362922463,7,8,20,0.42857142857142855
S02_ON_OFF,two_stage,macro_f1,-0.007220860079868022,-0.03228925281848098,0.017847532658744936,0.5537120417727759,6,14,20,0.42857142857142855
S02_ON_OFF,two_stage,balanced_accuracy,-0.006574583104269743,-0.03381716382663619,0.020667997618096703,0.6192837574694953,7,12,20,0.42857142857142855
S02_ON_OFF,two_stage,accuracy,-0.0038461538461538438,-0.02457859173198255,0.016886284039674865,0.7021215856767634,6,9,20,0.42857142857142855
S02_ON_OFF,two_stage,macro_auc_ovr,-0.006280388262589526,-0.020732180033205865,0.008171403508026814,0.3744406615903322,7,13,20,0.42857142857142855
S02_ON_OFF,two_stage,recall_no_fall,-0.0016355140186915917,-0.029165239072687144,0.02589421103530396,0.9023486113735962,10,9,20,0.42857142857142855
S02_ON_OFF,two_stage,recall_rare_fall,-0.008088235294117627,-0.06000468761072853,0.04382821702249328,0.747928656371492,9,10,20,0.42857142857142855
