sensitivity_id,target,selected_column,selected_seeds
S01_101_FLAGS,direct,FOG_FORM_MISSING,20
S01_101_FLAGS,direct,FRZGT12M,20
S01_101_FLAGS,direct,NHY_COMBINED_MAX,20
S01_101_FLAGS,direct,NP3GAIT_COMBINED_MAX,20
S01_101_FLAGS,direct,NP3PSTBL_COMBINED_MAX,20
S01_101_FLAGS,direct,NP4TOT,20
S01_101_FLAGS,direct,NQ_FORM_MISSING,20
S01_101_FLAGS,direct,NQ_GAUSSIAN_REVISION,20
S01_101_FLAGS,direct,PART_IV_FORM_MISSING,20
S01_101_FLAGS,direct,Years_since_PD_diagnosis,20
S01_101_FLAGS,direct,NP1RTOT,19
S01_101_FLAGS,direct,ANYFAMPD_Missing,18
S01_101_FLAGS,direct,ANYFAMPD_No,18
S01_101_FLAGS,direct,ANYFAMPD_Yes,18
S01_101_FLAGS,direct,NP1CNST,18
S01_101_FLAGS,direct,NP3PSTBL_WAS_101_EVER,16
S01_101_FLAGS,direct,DOPTHERST_Missing,15
S01_101_FLAGS,direct,DOPTHERST_No,15
S01_101_FLAGS,direct,DOPTHERST_Yes,15
S01_101_FLAGS,direct,NP1URIN,15
S01_101_FLAGS,direct,GDS_TOTAL,14
S01_101_FLAGS,direct,NP3TOT_COMBINED_MAX,14
S01_101_FLAGS,direct,SCAU14,14
S01_101_FLAGS,direct,Age,13
S01_101_FLAGS,direct,MCATOT,13
S01_101_FLAGS,direct,NHY_WAS_101_EVER,13
S01_101_FLAGS,direct,SCAU16,12
S01_101_FLAGS,direct,FEATPOSHYP_No,11
S01_101_FLAGS,direct,FEATPOSHYP_Uncertain,11
S01_101_FLAGS,direct,FEATPOSHYP_Yes,11
S01_101_FLAGS,direct,NP1SLPD,11
S01_101_FLAGS,direct,NP3GAIT_WAS_101_EVER,11
S01_101_FLAGS,direct,DOMSIDE_Left,8
S01_101_FLAGS,direct,DOMSIDE_Right,8
S01_101_FLAGS,direct,DOMSIDE_Symmetric,8
S01_101_FLAGS,direct,DOMSIDE_Unknown,8
S01_101_FLAGS,direct,DXBRADY_No,7
S01_101_FLAGS,direct,DXBRADY_Unknown,7
S01_101_FLAGS,direct,DXBRADY_Yes,7
S01_101_FLAGS,direct,BMI,6
S01_101_FLAGS,direct,DXPOSINS_No,6
S01_101_FLAGS,direct,DXPOSINS_Unknown,6
S01_101_FLAGS,direct,DXPOSINS_Yes,6
S01_101_FLAGS,direct,DXRIGID_No,6
S01_101_FLAGS,direct,DXRIGID_Unknown,6
S01_101_FLAGS,direct,DXRIGID_Yes,6
S01_101_FLAGS,direct,DXTREMOR_No,6
S01_101_FLAGS,direct,DXTREMOR_Unknown,6
S01_101_FLAGS,direct,DXTREMOR_Yes,6
