target,group,label,final_model_uses,outer_refits_selected,outer_refits,mean_drop_macro_f1,mean_drop_rare_fall_recall,sd_drop_macro_f1,sd_drop_rare_fall_recall
direct,NP1CNST,Constipation,True,18,20,0.020867487048528206,0.04802898550724637,0.01653063092781855,0.035440938448200045
direct,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",True,20,20,0.020604560412970326,-0.04848309178743961,0.01771705366991002,0.030605010483034753
direct,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),True,20,20,0.018851173350829746,-0.014608695652173913,0.008292529358961475,0.026712783060324843
direct,Age,Age,True,13,20,0.013351155543422987,0.0462512077294686,0.008205093050177095,0.022767967826199692
direct,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,True,13,20,0.00872908863161359,0.017043478260869566,0.008700240383763184,0.026595626686823
direct,NP1URIN,Urinary problems,True,18,20,0.00629974890702068,0.0056231884057971054,0.007796196350629571,0.02282447914998009
direct,NP1SLPD,Daytime sleepiness,True,13,20,0.006216253684634074,0.0071304347826086955,0.0037109602643044396,0.009580673600270873
direct,ANYFAMPD,Family history of PD,True,16,20,0.004444505045304799,-0.010028985507246378,0.008667846928760123,0.039475732419071985
direct,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),True,20,20,0.002711977171522021,-0.05408695652173913,0.009538720693040166,0.05202769141519472
direct,MCATOT,MoCA total (cognition),True,13,20,0.0012411510054879875,0.0007342995169082132,0.015872309105941246,0.03847678851833996
direct,DXBRADY,Bradykinesia at diagnosis,False,7,20,0.0005697870725784515,0.0008695652173913071,0.0012740826269860238,0.0019444069369563453
direct,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),True,20,20,0.0004414047126175411,-0.003188405797101445,0.009043582346122979,0.02072615784431855
direct,DXPOSINS,Postural instability at diagnosis,False,6,20,0.0,0.0,0.0,0.0
direct,DXRIGID,Rigidity at diagnosis,False,6,20,0.0,0.0,0.0,0.0
direct,BMI,Body mass index,False,6,20,0.0,0.0,0.0,0.0
direct,DXTREMOR,Tremor at diagnosis,False,6,20,0.0,0.0,0.0,0.0
direct,DOMSIDE,Dominant side at diagnosis,False,7,20,0.0,0.0,0.0,0.0
direct,DOPTHERST,Dopaminergic therapy started,True,15,20,-0.0011549566138627989,-0.0013816425120772905,0.006203887763127039,0.011695092444507837
direct,NP1RTOT,MDS-UPDRS Part I rater total,True,18,20,-0.0013155352315898986,-0.024367149758454103,0.012958709263460853,0.03365304909809686
direct,SCAU16,Fainting in preceding six months (SCOPA-AUT),True,12,20,-0.0013526776100161251,-8.695652173912605e-05,0.005919102902920795,0.013264120576828894
direct,Years_since_PD_diagnosis,Years since PD diagnosis,True,20,20,-0.00189921616604289,-0.03845410628019323,0.01025492254943329,0.03984559981118728
direct,SCAU14,Lightheadedness on standing up (SCOPA-AUT),True,15,20,-0.0020310036628172178,-0.014009661835748793,0.005009492925683213,0.017088172744320482
direct,GDS_TOTAL,Geriatric Depression Scale total,True,13,20,-0.002324090870753543,-0.005565217391304345,0.012345128274717839,0.030515237573179546
direct,FEATPOSHYP,Symptomatic orthostatic hypotension documented,True,10,20,-0.002705634020005069,-0.012782608695652179,0.0023962157710467084,0.009709279649961218
direct,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),True,20,20,-0.003436471065177413,-0.020280193236714976,0.012064001010969928,0.030684627429303363
direct,NHY_COMBINED_MAX,Hoehn and Yahr stage,True,20,20,-0.0054463828707117645,-0.04688888888888888,0.007965916938546787,0.02131589070233729
stage_1,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),True,20,20,0.0041446527266163265,,0.011269800782518795,
stage_1,NP1CNST,Constipation,True,20,20,0.0018454359925506498,,0.011521899660767406,
stage_1,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),True,18,20,0.0017881584491533382,,0.00628767379331435,
stage_1,ANYFAMPD,Family history of PD,True,12,20,0.0006348364980469378,,0.00732565809768254,
stage_1,SCAU16,Fainting in preceding six months (SCOPA-AUT),True,10,20,6.208330136069808e-05,,0.003695942636946249,
stage_1,DXPOSINS,Postural instability at diagnosis,False,7,20,0.0,,0.0,
stage_1,DXRIGID,Rigidity at diagnosis,False,7,20,0.0,,0.0,
stage_1,BMI,Body mass index,False,14,20,0.0,,0.0,
stage_1,DXTREMOR,Tremor at diagnosis,False,9,20,0.0,,0.0,
stage_1,DOMSIDE,Dominant side at diagnosis,False,7,20,0.0,,0.0,
stage_1,DXBRADY,Bradykinesia at diagnosis,False,13,20,-0.0005857010263346885,,0.0014383250739446595,
stage_1,FEATPOSHYP,Symptomatic orthostatic hypotension documented,True,8,20,-0.0011982508199596122,,0.006283877019089652,
stage_1,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),True,20,20,-0.001573629712462172,,0.008254490045869946,
