inner_validation_fold,group,model,metric,mean_drop
0,GROUP_NEUROQOL_FORM,direct_system,macro_f1,0.031747673575899374
0,GROUP_NEUROQOL_FORM,direct_system,rare_fall_recall,-1.1102230246251566e-17
0,GROUP_NEUROQOL_FORM,two_stage_system,macro_f1,0.04592859098468165
0,GROUP_NEUROQOL_FORM,two_stage_system,rare_fall_recall,0.05333333333333333
0,GROUP_NEUROQOL_FORM,stage_1,macro_f1,0.02285009655497413
0,GROUP_NEUROQOL_FORM,stage_2,macro_f1,0.03060623766492212
0,GROUP_NEUROQOL_FORM,stage_2,rare_fall_recall,0.0022222222222222253
0,Years_since_PD_diagnosis,direct_system,macro_f1,-0.01194565458888821
0,Years_since_PD_diagnosis,direct_system,rare_fall_recall,-0.05333333333333333
0,Years_since_PD_diagnosis,two_stage_system,macro_f1,0.04030240395844413
0,Years_since_PD_diagnosis,two_stage_system,rare_fall_recall,-0.02000000000000001
0,Years_since_PD_diagnosis,stage_1,macro_f1,-0.013186790045036622
0,Years_since_PD_diagnosis,stage_2,macro_f1,0.06778311708817351
0,Years_since_PD_diagnosis,stage_2,rare_fall_recall,-0.011111111111111127
0,Age,direct_system,macro_f1,0.01645257565545828
0,Age,direct_system,rare_fall_recall,0.05111111111111111
0,Age,two_stage_system,macro_f1,0.002397636929171665
0,Age,two_stage_system,rare_fall_recall,0.024444444444444435
0,Age,stage_1,macro_f1,0.0007216132952400534
0,Age,stage_2,macro_f1,0.0
0,Age,stage_2,rare_fall_recall,0.0
0,DXPOSINS,direct_system,macro_f1,0.0
0,DXPOSINS,direct_system,rare_fall_recall,0.0
0,DXPOSINS,two_stage_system,macro_f1,0.0
0,DXPOSINS,two_stage_system,rare_fall_recall,0.0
0,DXPOSINS,stage_1,macro_f1,0.0
0,DXPOSINS,stage_2,macro_f1,0.0
0,DXPOSINS,stage_2,rare_fall_recall,0.0
0,DXRIGID,direct_system,macro_f1,0.0
0,DXRIGID,direct_system,rare_fall_recall,0.0
0,DXRIGID,two_stage_system,macro_f1,0.0
0,DXRIGID,two_stage_system,rare_fall_recall,0.0
0,DXRIGID,stage_1,macro_f1,0.0
0,DXRIGID,stage_2,macro_f1,0.0
0,DXRIGID,stage_2,rare_fall_recall,0.0
0,DOPTHERST,direct_system,macro_f1,-0.008618957906649705
0,DOPTHERST,direct_system,rare_fall_recall,0.004444444444444434
0,DOPTHERST,two_stage_system,macro_f1,0.01233519247539463
0,DOPTHERST,two_stage_system,rare_fall_recall,0.004444444444444434
0,DOPTHERST,stage_1,macro_f1,0.0008518745726125765
0,DOPTHERST,stage_2,macro_f1,0.013521091129121398
0,DOPTHERST,stage_2,rare_fall_recall,0.0044444444444444505
0,MCATOT,direct_system,macro_f1,0.003453065828386426
