target,class_index,class_label,group,descriptive_name,mean_absolute_shap,mean_shap
direct,0,no fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.201905209461835,0.06918825768105905
direct,0,no fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.15470456855886852,0.05298542203766159
direct,0,no fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.12229250842173314,0.044489138222371674
direct,0,no fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.1198952436579002,0.057608052245718536
direct,0,no fall,Age,Age,0.1005153592990875,0.02625709645574863
direct,0,no fall,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),0.0920871373419599,0.029747534628374196
direct,0,no fall,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),0.09101067143836157,0.03501202858655808
direct,0,no fall,NP1CNST,Constipation,0.08703581028978025,0.03042913972212862
direct,0,no fall,NHY_COMBINED_MAX,Hoehn and Yahr stage,0.07886177311723709,0.02682406401750798
direct,0,no fall,NP1RTOT,MDS-UPDRS Part I rater total,0.07431050940850255,0.02536516771870987
direct,0,no fall,MCATOT,MoCA total (cognition),0.06152797599633563,0.017824944037518886
direct,0,no fall,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,0.06082385628188176,0.022871198526549993
direct,0,no fall,NP1URIN,Urinary problems,0.05229602440405651,0.018642801221497432
direct,0,no fall,ANYFAMPD,Family history of PD,0.04229286737149947,0.011528676933657814
direct,0,no fall,GDS_TOTAL,Geriatric Depression Scale total,0.04089074362882779,0.013939832195860206
direct,0,no fall,NP1SLPD,Daytime sleepiness,0.03004893112677156,0.00812001239378698
direct,0,no fall,SCAU14,Lightheadedness on standing up (SCOPA-AUT),0.02306947101528976,0.007665368932252802
direct,0,no fall,DOPTHERST,Dopaminergic therapy started,0.021935997979709257,0.003897452823675594
direct,0,no fall,FEATPOSHYP,Symptomatic orthostatic hypotension documented,0.010673444741731396,0.0029680931253531534
direct,0,no fall,SCAU16,Fainting in preceding six months (SCOPA-AUT),0.007801648603558935,0.0025673917862044367
direct,1,rare fall,NP1CNST,Constipation,0.11023200017588801,-0.022619630667943185
direct,1,rare fall,MCATOT,MoCA total (cognition),0.08542064885959108,-0.011020721382285811
direct,1,rare fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.0853682918342212,0.033183978820386394
direct,1,rare fall,Age,Age,0.07382221013687255,-0.012350791304780027
direct,1,rare fall,ANYFAMPD,Family history of PD,0.05013733628297089,0.004411032995935395
direct,1,rare fall,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,0.04998374937031243,-0.011717772686105339
direct,1,rare fall,SCAU14,Lightheadedness on standing up (SCOPA-AUT),0.04015373572941649,0.009215352373230458
direct,1,rare fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.035073161727147216,0.008160311930677018
direct,1,rare fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.03242470198225158,0.00689604575924397
direct,1,rare fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.030759069323653628,0.012409345221579092
direct,1,rare fall,NP1RTOT,MDS-UPDRS Part I rater total,0.02897816476036478,-0.0051683214965846415
direct,1,rare fall,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),0.02637370052474236,0.004037937306260608
direct,1,rare fall,FEATPOSHYP,Symptomatic orthostatic hypotension documented,0.023181229198450982,0.0016849990482617932
direct,1,rare fall,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),0.020898323895169636,0.0016836919665778934
direct,1,rare fall,NP1URIN,Urinary problems,0.02052213131989343,0.0016759262692930962
direct,1,rare fall,NHY_COMBINED_MAX,Hoehn and Yahr stage,0.020236673453658243,0.009823825084004187
direct,1,rare fall,DOPTHERST,Dopaminergic therapy started,0.015875270636113898,0.00011691139647781414
direct,1,rare fall,GDS_TOTAL,Geriatric Depression Scale total,0.01508227589388772,0.0005009532870824556
direct,1,rare fall,NP1SLPD,Daytime sleepiness,0.012731489774653612,0.002810585235316701
direct,1,rare fall,SCAU16,Fainting in preceding six months (SCOPA-AUT),0.004372469128883269,0.001487567826176945
direct,2,recurrent fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.22196921279973808,-0.07734856961173606
direct,2,recurrent fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.19989045371238817,-0.09079203106610485
direct,2,recurrent fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.17613342040409352,-0.059881467796905424
direct,2,recurrent fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.1475592916009545,-0.056898483443950806
direct,2,recurrent fall,NHY_COMBINED_MAX,Hoehn and Yahr stage,0.09875814860768611,-0.03664788910151208
direct,2,recurrent fall,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),0.0900046031305,-0.036695720553135955
direct,2,recurrent fall,ANYFAMPD,Family history of PD,0.08849676291116132,-0.01593970992959321
direct,2,recurrent fall,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),0.08423705041280745,-0.0337854719346348
direct,2,recurrent fall,NP1URIN,Urinary problems,0.06139551520170566,-0.020318727490790663
direct,2,recurrent fall,MCATOT,MoCA total (cognition),0.06107943198712865,-0.006804222655233073
direct,2,recurrent fall,NP1RTOT,MDS-UPDRS Part I rater total,0.05473076713769304,-0.020196846222125232
direct,2,recurrent fall,SCAU14,Lightheadedness on standing up (SCOPA-AUT),0.04827782138130481,-0.016880721305483244
direct,2,recurrent fall,GDS_TOTAL,Geriatric Depression Scale total,0.04542133707290704,-0.014440785482942656
direct,2,recurrent fall,NP1SLPD,Daytime sleepiness,0.03657617404361215,-0.010930597629103698
direct,2,recurrent fall,Age,Age,0.03523803965810284,-0.013906305150968608
direct,2,recurrent fall,NP1CNST,Constipation,0.031120643035374023,-0.007809509054185534
direct,2,recurrent fall,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,0.02420357717514808,-0.011153425840444705
direct,2,recurrent fall,FEATPOSHYP,Symptomatic orthostatic hypotension documented,0.017997114993476778,-0.00465309217361494
direct,2,recurrent fall,DOPTHERST,Dopaminergic therapy started,0.01569661702570555,-0.004014364220153406
direct,2,recurrent fall,SCAU16,Fainting in preceding six months (SCOPA-AUT),0.010922659334236187,-0.004054959612381381
stage_1,0,no fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.03514267761612297,0.005750597181842491
stage_1,0,no fall,NP1CNST,Constipation,0.033644676079645136,0.0050385714273256475
stage_1,0,no fall,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),0.027839294372684224,0.005085493232476713
stage_1,0,no fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.027815722935673696,0.004600635062015591
stage_1,0,no fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.027665395316137327,0.005815801444246502
stage_1,0,no fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.026324475604003767,0.005000694124731012
stage_1,0,no fall,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),0.021367568132551366,0.004335528459929317
stage_1,0,no fall,NHY_COMBINED_MAX,Hoehn and Yahr stage,0.019087213439195894,0.0045933211006345676
stage_1,0,no fall,NP1RTOT,MDS-UPDRS Part I rater total,0.017391529839074417,0.0028127076297144453
stage_1,0,no fall,DOPTHERST,Dopaminergic therapy started,0.016507187159894233,0.00228894101321582
stage_1,0,no fall,Age,Age,0.015249220940130726,0.001965350848504639
stage_1,0,no fall,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,0.0149737573125558,0.002078294879727299
stage_1,0,no fall,NP1URIN,Urinary problems,0.01379279584923819,0.0031613656923680684
stage_1,0,no fall,ANYFAMPD,Family history of PD,0.010834804013338698,0.0035927819281249456
stage_1,0,no fall,MCATOT,MoCA total (cognition),0.010513497210217057,0.002748029140176565
stage_1,0,no fall,GDS_TOTAL,Geriatric Depression Scale total,0.00725461698606283,0.0021286200128526694
stage_1,0,no fall,NP1SLPD,Daytime sleepiness,0.006873822524957785,0.0014040912805961263
stage_1,0,no fall,FEATPOSHYP,Symptomatic orthostatic hypotension documented,0.006176112130279481,0.0025409016613303927
stage_1,0,no fall,SCAU14,Lightheadedness on standing up (SCOPA-AUT),0.005893575423928846,0.001909899045372689
stage_1,0,no fall,SCAU16,Fainting in preceding six months (SCOPA-AUT),0.0016392055916777811,0.0005565395628335026
stage_1,1,any fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.03514267761612281,-0.0057505971818415415
stage_1,1,any fall,NP1CNST,Constipation,0.03364467607964537,-0.005038571427324075
stage_1,1,any fall,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),0.027839294372683947,-0.005085493232475512
stage_1,1,any fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.027815722935673373,-0.004600635062014084
stage_1,1,any fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.027665395316137115,-0.005815801444245723
stage_1,1,any fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.02632447560400355,-0.005000694124730196
stage_1,1,any fall,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),0.021367568132551227,-0.00433552845992862
stage_1,1,any fall,NHY_COMBINED_MAX,Hoehn and Yahr stage,0.019087213439195717,-0.004593321100634157
stage_1,1,any fall,NP1RTOT,MDS-UPDRS Part I rater total,0.017391529839074344,-0.002812707629713728
stage_1,1,any fall,DOPTHERST,Dopaminergic therapy started,0.016507187159894146,-0.0022889410132156574
stage_1,1,any fall,Age,Age,0.015249220940130726,-0.0019653508485043126
stage_1,1,any fall,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,0.014973757312555746,-0.0020782948797268487
stage_1,1,any fall,NP1URIN,Urinary problems,0.013792795849237888,-0.003161365692367144
stage_1,1,any fall,ANYFAMPD,Family history of PD,0.01083480401333872,-0.0035927819281249915
stage_1,1,any fall,MCATOT,MoCA total (cognition),0.01051349721021703,-0.002748029140176489
stage_1,1,any fall,GDS_TOTAL,Geriatric Depression Scale total,0.007254616986062762,-0.0021286200128523753
stage_1,1,any fall,NP1SLPD,Daytime sleepiness,0.006873822524957806,-0.0014040912805956872
stage_1,1,any fall,FEATPOSHYP,Symptomatic orthostatic hypotension documented,0.006176112130279476,-0.0025409016613303697
stage_1,1,any fall,SCAU14,Lightheadedness on standing up (SCOPA-AUT),0.005893575423928649,-0.0019098990453722171
stage_1,1,any fall,SCAU16,Fainting in preceding six months (SCOPA-AUT),0.0016392055916777878,-0.0005565395628335184
stage_2,0,rare fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.05976416676252206,0.028585616167424423
stage_2,0,rare fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.041471907647619835,0.014490079280974441
stage_2,0,rare fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.039977169505343586,0.014660367400632653
stage_2,0,rare fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.03823872086400436,0.013641611462412453
stage_2,0,rare fall,NHY_COMBINED_MAX,Hoehn and Yahr stage,0.0291345063398312,0.015169775690684712
stage_2,0,rare fall,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),0.021428294649622683,0.005108377962109471
stage_2,0,rare fall,ANYFAMPD,Family history of PD,0.019924598711249245,0.001987822225411015
stage_2,0,rare fall,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),0.019638896923319125,0.004868680143174547
stage_2,0,rare fall,SCAU14,Lightheadedness on standing up (SCOPA-AUT),0.015968808321773272,0.002679404570878659
stage_2,0,rare fall,DOMSIDE,Dominant side at diagnosis,0.014336763331143127,0.0021104623209524495
stage_2,0,rare fall,FEATPOSHYP,Symptomatic orthostatic hypotension documented,0.013499970546764467,-0.00016683892022524658
stage_2,0,rare fall,NP1URIN,Urinary problems,0.010684420117992777,0.0008584139282637215
stage_2,0,rare fall,DOPTHERST,Dopaminergic therapy started,0.00931948060430455,-0.0007923181989221577
stage_2,1,recurrent fall,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",0.05976416676252209,-0.028585616167424405
stage_2,1,recurrent fall,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),0.04147190764761982,-0.014490079280974448
stage_2,1,recurrent fall,Years_since_PD_diagnosis,Years since PD diagnosis,0.039977169505343586,-0.014660367400632649
stage_2,1,recurrent fall,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),0.03823872086400434,-0.013641611462412427
