seed,s1_winner,s2_winner,direct_winner,two_stage_f1_macro,direct_f1_macro,dummy_f1_macro,two_stage_accuracy,direct_accuracy,two_stage_f1_weighted,direct_f1_weighted,two_stage_auc,direct_auc,two_stage_recall_none,two_stage_recall_rare,two_stage_recall_recurrent,direct_recall_none,direct_recall_rare,direct_recall_recurrent,s1_cv_macro_f1,s2_cv_macro_f1,direct_cv_macro_f1
0,Random Forest,Random Forest,Random Forest,0.5023613161727788,0.4910568603425967,0.2712294043092522,0.6410256410256411,0.5993589743589743,0.6463522253923131,0.6186719368569844,0.7373982365723925,0.7458519200446433,0.7616822429906542,0.25,0.6666666666666666,0.6869158878504673,0.3235294117647059,0.6,0.6980801434739279,0.693127890431814,0.5222616134258694
1,Random Forest,Random Forest,Random Forest,0.4981299830298019,0.5088256237032133,0.2712294043092522,0.6794871794871795,0.6474358974358975,0.6619052696791331,0.6554756589524082,0.7460246805605198,0.753422658515368,0.8551401869158879,0.19117647058823528,0.5333333333333333,0.7710280373831776,0.29411764705882354,0.5666666666666667,0.6907473301396847,0.7101730960198702,0.5458869120462613
2,XGBoost,Random Forest,Random Forest,0.5024438725116097,0.5138741017800171,0.2712294043092522,0.6794871794871795,0.6538461538461539,0.6548847558037081,0.6632260476731746,0.7121008422960474,0.7641397506896596,0.8644859813084113,0.19117647058823528,0.4666666666666667,0.7757009345794392,0.35294117647058826,0.4666666666666667,0.6834008797628993,0.7063789207949386,0.5385577907865078
3,Random Forest,Random Forest,Random Forest,0.4708417508417509,0.5238649528930859,0.2712294043092522,0.6730769230769231,0.6538461538461539,0.6504066304066304,0.6664601587998203,0.7427731674881469,0.7320317556655019,0.8691588785046729,0.17647058823529413,0.4,0.7616822429906542,0.36764705882352944,0.5333333333333333,0.7057277416966063,0.7052226004379225,0.540883268916325
4,Random Forest,Random Forest,Random Forest,0.48958458228551116,0.49980054619656933,0.2712294043092522,0.6474358974358975,0.6314102564102564,0.6285362889356162,0.6406019492183536,0.7580871321737273,0.7570009326194974,0.7990654205607477,0.14705882352941177,0.7,0.7523364485981309,0.3235294117647059,0.4666666666666667,0.6936532711021524,0.6755927864974589,0.5220309594910023
5,Random Forest,Random Forest,Random Forest,0.48639670584127864,0.5152142651711246,0.2712294043092522,0.6025641025641025,0.6634615384615384,0.6218094847663721,0.664769742768017,0.7630671419912751,0.7616032807771851,0.705607476635514,0.39705882352941174,0.3333333333333333,0.8084112149532711,0.3235294117647059,0.4,0.7064129211429947,0.6803150983713644,0.5498544918206876
6,Random Forest,Random Forest,Random Forest,0.4818492251116364,0.49211810123896865,0.2712294043092522,0.6474358974358975,0.6282051282051282,0.6482875674365035,0.6404382265974699,0.7358837100447454,0.7573734054563627,0.7990654205607477,0.23529411764705882,0.5,0.7476635514018691,0.3088235294117647,0.5,0.6908922891161116,0.7284809391455106,0.5613871497872213
7,XGBoost,Random Forest,Random Forest,0.4717042522474797,0.5146027148219187,0.2712294043092522,0.6153846153846154,0.6666666666666666,0.6129278841954148,0.6630154443009182,0.6658671978977142,0.7472998787130725,0.7616822429906542,0.23529411764705882,0.43333333333333335,0.8130841121495327,0.3235294117647059,0.4,0.7095850912231376,0.6664064539343537,0.53702432482275
8,Random Forest,Logistic Regression,Random Forest,0.45359612357861595,0.49422571239304247,0.2712294043092522,0.6121794871794872,0.6057692307692307,0.6217107008329354,0.6224860405871042,0.7153222062476247,0.7419794802083762,0.7523364485981309,0.22058823529411764,0.5,0.7009345794392523,0.35294117647058826,0.5,0.7061412666921527,0.6637402546284126,0.5344821269260358
9,Random Forest,Random Forest,Random Forest,0.5437950646592455,0.5697999170460445,0.2712294043092522,0.6762820512820513,0.6634615384615384,0.6824534236197985,0.6835709113032694,0.7468675337770582,0.7757815706432457,0.794392523364486,0.38235294117647056,0.5,0.7242990654205608,0.5294117647058824,0.5333333333333333,0.6965693807358999,0.6879007552763814,0.540961187064027
10,Random Forest,Random Forest,Random Forest,0.5341587887980337,0.5271613121805353,0.2712294043092522,0.6987179487179487,0.6506410256410257,0.6876250124904192,0.6680241260646935,0.7761320715384589,0.7798638435707295,0.8504672897196262,0.22058823529411764,0.7,0.7476635514018691,0.3235294117647059,0.7,0.6703174569586323,0.6732323885932886,0.5007586225722038
11,Random Forest,Logistic Regression,Random Forest,0.5187436904451727,0.5205214858603634,0.2712294043092522,0.6538461538461539,0.6538461538461539,0.6491887730544874,0.6546836792220007,0.7451259302661709,0.7694869133565664,0.780373831775701,0.23529411764705882,0.7,0.7850467289719626,0.29411764705882354,0.5333333333333333,0.7024480709888072,0.6648631129677849,0.514880586562588
12,Random Forest,Logistic Regression,Random Forest,0.49508094528342567,0.48251395631249006,0.2712294043092522,0.6698717948717948,0.6153846153846154,0.6541903813164253,0.6269132191979369,0.7313888980460191,0.726323273643685,0.8364485981308412,0.19117647058823528,0.5666666666666667,0.7289719626168224,0.2647058823529412,0.6,0.7041117212777516,0.6951144641322238,0.5440977533675025
13,Random Forest,LightGBM,Random Forest,0.48340537649749243,0.5050626135050587,0.2712294043092522,0.6282051282051282,0.6442307692307693,0.6317114941304925,0.6488387989682501,0.725681929689984,0.745401850920203,0.7616822429906542,0.27941176470588236,0.4666666666666667,0.7757009345794392,0.3382352941176471,0.4,0.7141234170575298,0.6740104312836708,0.5470327432325347
14,Random Forest,LightGBM,Random Forest,0.47741288737552745,0.5176081916019997,0.2712294043092522,0.6602564102564102,0.6602564102564102,0.6512735808645379,0.6671092065828907,0.7090821068881915,0.74758834705763,0.8317757009345794,0.25,0.36666666666666664,0.780373831775701,0.38235294117647056,0.43333333333333335,0.6989202669527833,0.6925238713723909,0.5370450073938768
15,Random Forest,Logistic Regression,Random Forest,0.5189806027930013,0.525507829030893,0.2712294043092522,0.6762820512820513,0.6346153846153846,0.6712746947294522,0.648946295452326,0.7578251464926059,0.7581136072170919,0.822429906542056,0.2647058823529412,0.5666666666666667,0.7242990654205608,0.3382352941176471,0.6666666666666666,0.7049582048756767,0.6616613983300133,0.5091317531492751
16,Random Forest,Logistic Regression,Random Forest,0.5185230001233759,0.526544901830943,0.2712294043092522,0.6378205128205128,0.625,0.6420886178754953,0.6419815295893451,0.756015708628937,0.7480115899450833,0.7429906542056075,0.27941176470588236,0.7,0.705607476635514,0.4117647058823529,0.5333333333333333,0.7092392225734361,0.6466530343719852,0.544193575092601
17,Random Forest,Random Forest,Random Forest,0.5300666070384602,0.5284402029238805,0.2712294043092522,0.6442307692307693,0.6217948717948718,0.6541382378878444,0.6392409056632907,0.7339758264648325,0.7511436158108701,0.7523364485981309,0.35294117647058826,0.5333333333333333,0.6915887850467289,0.4117647058823529,0.6,0.7064071816349016,0.6845003755316708,0.5337002788538134
18,Random Forest,Random Forest,Random Forest,0.5317856083801131,0.5194680397804451,0.2712294043092522,0.6602564102564102,0.6314102564102564,0.6683499835374302,0.6483733420467601,0.7660398079724363,0.7743773667477307,0.7710280373831776,0.3088235294117647,0.6666666666666666,0.7242990654205608,0.3382352941176471,0.6333333333333333,0.7022731423236731,0.7101558110495182,0.529378794289403
19,Random Forest,Random Forest,Random Forest,0.5605728805988389,0.5873267326732674,0.2712294043092522,0.6923076923076923,0.6794871794871795,0.6876492664435259,0.6911018024879413,0.8044479189176722,0.8139759894021069,0.8130841121495327,0.2647058823529412,0.8,0.7570093457943925,0.4264705882352941,0.7,0.6872841271825669,0.6524412099200234,0.50005024873695
